Year,Gender.Code,nation,source,measure1,measure2,overall_value,Education,Ethnicity
2003,M,us,wonder,YLL,crude rate,7883.93732455566,666,"American Indian or Alaska Native, All Origins"
2003,A,us,nvss,Deaths,age-adjusted rate,4653.50599179388,666,"Asian or Pacific Islander, All Origins"
2003,A,us,nvss,YLL,crude rate,7743.23833295261,666,"Asian or Pacific Islander, All Origins"
2003,A,us,wonder,Deaths,age-adjusted rate,4618.8270527873,666,"Asian or Pacific Islander, All Origins"
2003,A,us,wonder,YLL,crude rate,7661.14476993299,666,"Asian or Pacific Islander, All Origins"
2003,F,us,nvss,Deaths,age-adjusted rate,2153.99425854163,666,"Asian or Pacific Islander, All Origins"
2003,F,us,nvss,YLL,crude rate,3379.98996740844,666,"Asian or Pacific Islander, All Origins"
2003,F,us,wonder,Deaths,age-adjusted rate,2142.12840370764,666,"Asian or Pacific Islander, All Origins"
2003,F,us,wonder,YLL,crude rate,3353.26037725199,666,"Asian or Pacific Islander, All Origins"
2003,M,us,nvss,Deaths,age-adjusted rate,2499.51173325225,666,"Asian or Pacific Islander, All Origins"
2003,M,us,nvss,YLL,crude rate,4363.24836554416,666,"Asian or Pacific Islander, All Origins"
2003,M,us,wonder,Deaths,age-adjusted rate,2476.69864907966,666,"Asian or Pacific Islander, All Origins"
2003,M,us,wonder,YLL,crude rate,4307.884392681,666,"Asian or Pacific Islander, All Origins"
2003,A,us,nvss,Deaths,age-adjusted rate,11309.4146820232,666,"Black or African American, All Origins"
2003,A,us,nvss,YLL,crude rate,22657.2464238271,666,"Black or African American, All Origins"
2003,A,us,wonder,Deaths,age-adjusted rate,11293.7707872315,666,"Black or African American, All Origins"
2003,A,us,wonder,YLL,crude rate,22617.5355538447,666,"Black or African American, All Origins"
2003,F,us,nvss,Deaths,age-adjusted rate,5406.86296445549,666,"Black or African American, All Origins"
2003,F,us,nvss,YLL,crude rate,9818.28560112803,666,"Black or African American, All Origins"
2003,F,us,wonder,Deaths,age-adjusted rate,5400.30207200331,666,"Black or African American, All Origins"
2003,F,us,wonder,YLL,crude rate,9801.96109534068,666,"Black or African American, All Origins"
2003,M,us,nvss,Deaths,age-adjusted rate,5902.55171756771,666,"Black or African American, All Origins"
2003,M,us,nvss,YLL,crude rate,12838.960822699,666,"Black or African American, All Origins"
2003,M,us,wonder,Deaths,age-adjusted rate,5893.46871522816,666,"Black or African American, All Origins"
2003,M,us,wonder,YLL,crude rate,12815.574458504,666,"Black or African American, All Origins"
2003,A,us,nvss,Deaths,age-adjusted rate,6770.30637156731,666,"White, Hispanic or Latino"
2003,A,us,nvss,YLL,crude rate,10511.0094268329,666,"White, Hispanic or Latino"
2003,A,us,wonder,Deaths,age-adjusted rate,6700.8090784093,666,"White, Hispanic or Latino"
2003,A,us,wonder,YLL,crude rate,10356.9547017175,666,"White, Hispanic or Latino"
2003,F,us,nvss,Deaths,age-adjusted rate,3045.05341983886,666,"White, Hispanic or Latino"
2003,F,us,nvss,YLL,crude rate,3948.4518311532,666,"White, Hispanic or Latino"
2003,F,us,wonder,Deaths,age-adjusted rate,3016.46177651223,666,"White, Hispanic or Latino"
2003,F,us,wonder,YLL,crude rate,3900.8112318673,666,"White, Hispanic or Latino"
2003,M,us,nvss,Deaths,age-adjusted rate,3725.25295172845,666,"White, Hispanic or Latino"
2003,M,us,nvss,YLL,crude rate,6562.5575956797,666,"White, Hispanic or Latino"
2003,M,us,wonder,Deaths,age-adjusted rate,3684.34730189707,666,"White, Hispanic or Latino"
2003,M,us,wonder,YLL,crude rate,6456.14346985024,666,"White, Hispanic or Latino"
2003,A,us,nvss,Deaths,age-adjusted rate,8120.743897876,666,"White, Not Hispanic or Latino"
2003,A,us,nvss,YLL,crude rate,20612.9223569378,666,"White, Not Hispanic or Latino"
2003,A,us,wonder,Deaths,age-adjusted rate,8113.11972034424,666,"White, Not Hispanic or Latino"
2003,A,us,wonder,YLL,crude rate,20588.7207656405,666,"White, Not Hispanic or Latino"
2003,F,us,nvss,Deaths,age-adjusted rate,3736.8601679449,666,"White, Not Hispanic or Latino"
2003,F,us,nvss,YLL,crude rate,9269.87197862808,666,"White, Not Hispanic or Latino"
2003,F,us,wonder,Deaths,age-adjusted rate,3734.35892636901,666,"White, Not Hispanic or Latino"
2003,F,us,wonder,YLL,crude rate,9262.13357205721,666,"White, Not Hispanic or Latino"
2003,M,us,nvss,Deaths,age-adjusted rate,4383.8837299311,666,"White, Not Hispanic or Latino"
2003,M,us,nvss,YLL,crude rate,11343.0503783097,666,"White, Not Hispanic or Latino"
2003,M,us,wonder,Deaths,age-adjusted rate,4378.76079397524,666,"White, Not Hispanic or Latino"
2003,M,us,wonder,YLL,crude rate,11326.5871935832,666,"White, Not Hispanic or Latino"
2004,A,us,nvss,Deaths,age-adjusted rate,7321.85541834913,666,"American Indian or Alaska Native, All Origins"
2004,A,us,nvss,YLL,crude rate,12962.7243634611,666,"American Indian or Alaska Native, All Origins"
2004,A,us,wonder,Deaths,age-adjusted rate,7314.96597062338,666,"American Indian or Alaska Native, All Origins"
2004,A,us,wonder,YLL,crude rate,12944.9590303016,666,"American Indian or Alaska Native, All Origins"
2004,F,us,nvss,Deaths,age-adjusted rate,3455.54582522604,666,"American Indian or Alaska Native, All Origins"
2004,F,us,nvss,YLL,crude rate,5322.20151003475,666,"American Indian or Alaska Native, All Origins"
2004,F,us,wonder,Deaths,age-adjusted rate,3453.67396850482,666,"American Indian or Alaska Native, All Origins"
2004,F,us,wonder,YLL,crude rate,5316.52687629869,666,"American Indian or Alaska Native, All Origins"
2004,M,us,nvss,Deaths,age-adjusted rate,3866.30959312308,666,"American Indian or Alaska Native, All Origins"
2004,M,us,nvss,YLL,crude rate,7640.52285342632,666,"American Indian or Alaska Native, All Origins"
2004,M,us,wonder,Deaths,age-adjusted rate,3861.29200211856,666,"American Indian or Alaska Native, All Origins"
2004,M,us,wonder,YLL,crude rate,7628.43215400292,666,"American Indian or Alaska Native, All Origins"
2004,A,us,nvss,Deaths,age-adjusted rate,4408.55021729813,666,"Asian or Pacific Islander, All Origins"
2004,A,us,nvss,YLL,crude rate,7454.71338733145,666,"Asian or Pacific Islander, All Origins"
2004,A,us,wonder,Deaths,age-adjusted rate,4362.02380189786,666,"Asian or Pacific Islander, All Origins"
2004,A,us,wonder,YLL,crude rate,7351.52743585098,666,"Asian or Pacific Islander, All Origins"
2004,F,us,nvss,Deaths,age-adjusted rate,2052.12253255076,666,"Asian or Pacific Islander, All Origins"
2004,F,us,nvss,YLL,crude rate,3240.94723611868,666,"Asian or Pacific Islander, All Origins"
2004,F,us,wonder,Deaths,age-adjusted rate,2035.37326444275,666,"Asian or Pacific Islander, All Origins"
