Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2002,us,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,1823.04732147036,1823.04732147036,1823.04732147036,burnett,attributable
2002,us,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,90.6170011093474,90.6170011093474,90.6170011093474,burnett,attributable
2002,us,Black or African American,All Origins,M,666,nvss,YLL,absolute number,436080.619841107,436080.619841107,436080.619841107,burnett,attributable
2002,us,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,43909.6648603298,43909.6648603298,43909.6648603298,burnett,attributable
2002,us,Black or African American,All Origins,M,666,nvss,YLL,crude rate,2425.67552220038,2425.67552220038,2425.67552220038,burnett,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,12247.1995516052,12247.1995516052,12247.1995516052,burnett,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,827.905089755959,827.905089755959,827.905089755959,burnett,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,34.3843264817783,34.3843264817783,34.3843264817783,burnett,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,299410.999889196,299410.999889196,299410.999889196,burnett,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,18575.7158955816,18575.7158955816,18575.7158955816,burnett,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,840.604052301608,840.604052301608,840.604052301608,burnett,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,5896.71332616399,5896.71332616399,5896.71332616399,burnett,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,672.272479430583,672.272479430583,672.272479430583,burnett,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,34.0924440207404,34.0924440207404,34.0924440207404,burnett,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,130513.570858459,130513.570858459,130513.570858459,burnett,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,14753.2618271098,14753.2618271098,14753.2618271098,burnett,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,754.577399700981,754.577399700981,754.577399700981,burnett,attributable
2002,us,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,6350.60562288813,6350.60562288813,6350.60562288813,burnett,attributable
2002,us,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,1031.30326750947,1031.30326750947,1031.30326750947,burnett,attributable
2002,us,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,34.6605150186234,34.6605150186234,34.6605150186234,burnett,attributable
2002,us,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,168912.158122129,168912.158122129,168912.158122129,burnett,attributable
2002,us,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,23258.1672870329,23258.1672870329,23258.1672870329,burnett,attributable
2002,us,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,921.89355489494,921.89355489494,921.89355489494,burnett,attributable
2002,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,229509.7987517,229509.7987517,229509.7987517,burnett,attributable
2002,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,950.46169150505,950.46169150505,950.46169150505,burnett,attributable
2002,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,115.854367752716,115.854367752716,115.854367752716,burnett,attributable
2002,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,4277174.75185041,4277174.75185041,4277174.75185041,burnett,attributable
2002,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,21231.9392063378,21231.9392063378,21231.9392063378,burnett,attributable
2002,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,2159.07721299346,2159.07721299346,2159.07721299346,burnett,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,121718.361530222,121718.361530222,121718.361530222,burnett,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,788.092518874418,788.092518874418,788.092518874418,burnett,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,120.462710039734,120.462710039734,120.462710039734,burnett,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,2037173.20079379,2037173.20079379,2037173.20079379,burnett,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,17341.8656149796,17341.8656149796,17341.8656149796,burnett,attributable
2002,us,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,2016.15764049704,2016.15764049704,2016.15764049704,burnett,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,107809.897843776,107809.897843776,107809.897843776,burnett,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,1159.66046916503,1159.66046916503,1159.66046916503,burnett,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,111.075947227053,111.075947227053,111.075947227053,burnett,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,2239361.66351038,2239361.66351038,2239361.66351038,burnett,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,25895.9601761795,25895.9601761795,25895.9601761795,burnett,attributable
2002,us,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,2307.20205596341,2307.20205596341,2307.20205596341,burnett,attributable
