Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,absolute number,25,110,C,di_gee,616.947061804764,370.168237082858,863.725886526668,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,absolute number,25,110,C,di_coxme,894.573239616907,555.252355624287,1252.40253546367,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,age-adjusted rate,25,150,A,di_gee,353.297876742031,211.978726045218,494.617027438842,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,age-adjusted rate,25,150,A,di_coxme,512.281921275944,317.968089067827,717.194689786322,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,age-adjusted rate,25,150,B,di_gee,349.715434459526,209.829260675716,489.601608243336,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,age-adjusted rate,25,150,B,di_coxme,507.087379966312,314.743891013573,709.922331952837,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,age-adjusted rate,25,150,C,di_gee,227.358492544268,136.415095526561,318.301889561975,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,age-adjusted rate,25,150,C,di_coxme,329.669814189189,204.622643289841,461.537739864864,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,crude rate,25,110,A,di_gee,433.278348493241,259.967009095945,606.589687890537,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,crude rate,25,110,A,di_coxme,628.253605315199,389.950513643917,879.555047441279,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,crude rate,25,110,B,di_gee,428.884903816897,257.330942290138,600.438865343655,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,crude rate,25,110,B,di_coxme,621.8831105345,385.996413435207,870.636354748301,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,crude rate,25,110,C,di_gee,278.828486244831,167.297091746899,390.359880742763,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,YLL,crude rate,25,110,C,di_coxme,404.301305055005,250.945637620348,566.021827077007,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,absolute number,25,110,A,di_gee,90.722300095051,54.4333800570306,127.011220133071,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,absolute number,25,110,A,di_coxme,131.547335137824,81.6500700855459,184.166269192953,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,absolute number,25,110,B,di_gee,89.5886342060819,53.7531805236491,125.424087888514,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,absolute number,25,110,B,di_coxme,129.903519598819,80.6297707854737,181.864927438346,attributable
