Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,A,993.705576028477,1309.38731455987,1615.33470456927,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,B,926.218631769643,1222.45222709462,1510.49690978416,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,A,1104.76903101223,1455.73355893554,1795.87575975952,burnett,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,B,1029.73927590832,1359.08200071061,1679.32056297669,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,A,3065.16985327056,4027.26657268362,4954.09273889114,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,B,2645.02389892605,3486.50980899522,4302.53540484655,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,43.0046567009603,56.5029752647201,69.5064442426932,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,37.1099645971593,48.9161007702028,60.3650260463466,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,A,39.0218403675126,51.27003097365,63.0692017985862,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,B,33.6730769559209,44.3858042846181,54.7744033056931,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,A,67023.5483212314,88060.9260360342,108327.071571137,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,B,57836.5622744607,76236.6426142103,94080.0032020568,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,A,786.563159480619,1033.44991342021,1271.28577651395,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,B,678.748145921224,894.684569599736,1104.08753961949,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,A,853.258490933131,1121.07960174765,1379.08236628997,burnett,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,B,736.301480347522,970.547878471593,1197.70682946283,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,A,23218.2435947417,30524.1207735553,37570.2279439814,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,B,20733.8035601204,27318.0668488071,33697.164624205,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,94.2208997792139,123.868548131914,152.462035612108,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,84.138906515842,110.858206316099,136.74493326532,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,A,109.615299538399,144.106966062553,177.372236319294,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,B,97.8860471740268,128.970913248588,159.08717551372,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,A,557523.517751795,732954.459733866,902147.725369248,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,B,497866.38899038,655969.719052089,809146.552489564,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,A,2038.20410873195,2679.54757741368,3298.08724113659,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,B,1820.10854668823,2398.1054323361,2958.09194650823,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,A,2632.11586822638,3460.34024166793,4259.11601541778,burnett,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,B,2350.46949768591,3096.88874391423,3820.04958125659,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,A,7966.09211058241,10473.9680410351,12893.5174860143,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,B,7024.03090631778,9261.66243299697,11433.0428910016,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,A,56.8497191757797,74.7470821983006,92.0141065522186,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,B,50.1267345347038,66.095508451038,81.5914840872414,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,A,44.3630685377115,58.3293986080043,71.803839572025,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,B,39.1167413309255,51.5780836556449,63.6704745974894,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,A,185023.235411896,243272.0369852,299469.336782224,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,B,163142.593115842,215114.603855695,265547.844153842,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,A,1082.536168571,1423.33895660268,1752.13879339548,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,B,954.516643756659,1258.59510857219,1553.67051680098,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,A,1030.39211192939,1354.77896819022,1667.74103640655,burnett,attributable,25,150
2001,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,B,908.539085331883,1197.97057099496,1478.83266308066,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,A,156932.67938224,206624.100952181,254700.447079718,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,B,146272.964498327,192866.75923978,238079.125431567,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,A,66.9280418090002,88.1202469855981,108.623661037496,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,B,62.3819278559921,82.2530691298908,101.535064101744,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,A,115.687974184411,152.319604501306,187.760629988014,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,B,107.829822363148,142.177937391973,175.507687915582,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,A,2894402.02279321,3810890.23718985,4697590.66203327,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,B,2697798.61014615,3557155.4648188,4391033.81747239,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,A,1265.7135524553,1666.49117232026,2054.24267879866,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,B,1179.73945421783,1555.53369730811,1920.18626586671,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,A,2133.70158344536,2809.32036026612,3462.98010954458,burnett,attributable,25,150
2001,us,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,B,1988.76905176098,2622.27160846184,3236.99186758491,burnett,attributable,25,150
