Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,min_age,max_age,value,measure1,measure2
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,10,14,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,15,19,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,20,24,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,25,29,0.0322975186983149,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,30,34,0.0894113976583706,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,35,39,0.163888752800368,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,40,44,0.546260788587738,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,45,49,1.36463290628533,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,50,54,2.67397919058494,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,55,59,4.06068947654757,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,60,64,4.55431600315503,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,65,69,5.36581249166152,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,70,74,6.81668607819227,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,75,79,8.18923090008256,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,80,84,8.66496355151276,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,F,us,666,total,wonder,85,150,6.44655451605774,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,0,4,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,5,9,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,10,14,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,15,19,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,20,24,0.0347938785973528,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,25,29,0,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,30,34,0.208626594536198,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,35,39,0.382407089867524,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,40,44,1.26633182808976,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,45,49,2.19236106255676,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,50,54,3.81141810001287,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,55,59,5.37909515075133,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,60,64,7.29604470070655,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,65,69,7.17596610330637,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,70,74,7.93136430481491,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,75,79,8.06867439892466,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,80,84,7.19858510433368,YLL,crude rate
2004,White,Not Hispanic or Latino,t2_dm,M,us,666,total,wonder,85,150,3.53337978794099,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,5,9,1.00546503402301,Deaths,age-adjusted rate
