"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"1994"	"1994"	"Mississippi"	"28"	40435
	"< 1 year"	"0"	"1994"	"1994"	"Missouri"	"29"	71576
	"< 1 year"	"0"	"1994"	"1994"	"Montana"	"30"	10935
	"< 1 year"	"0"	"1994"	"1994"	"Nebraska"	"31"	22444
	"< 1 year"	"0"	"1994"	"1994"	"Nevada"	"32"	23469
	"< 1 year"	"0"	"1994"	"1994"	"New Hampshire"	"33"	15013
	"< 1 year"	"0"	"1994"	"1994"	"New Jersey"	"34"	114395
	"< 1 year"	"0"	"1994"	"1994"	"New Mexico"	"35"	26922
	"< 1 year"	"0"	"1994"	"1994"	"New York"	"36"	268441
	"< 1 year"	"0"	"1994"	"1994"	"North Carolina"	"37"	98557
	"< 1 year"	"0"	"1994"	"1994"	"North Dakota"	"38"	8384
	"< 1 year"	"0"	"1994"	"1994"	"Ohio"	"39"	153453
	"< 1 year"	"0"	"1994"	"1994"	"Oklahoma"	"40"	44430
	"< 1 year"	"0"	"1994"	"1994"	"Oregon"	"41"	41188
	"< 1 year"	"0"	"1994"	"1994"	"Pennsylvania"	"42"	153059
	"< 1 year"	"0"	"1994"	"1994"	"Rhode Island"	"44"	13534
	"< 1 year"	"0"	"1994"	"1994"	"South Carolina"	"45"	50940
	"< 1 year"	"0"	"1994"	"1994"	"South Dakota"	"46"	10150
	"< 1 year"	"0"	"1994"	"1994"	"Tennessee"	"47"	71307
	"< 1 year"	"0"	"1994"	"1994"	"Texas"	"48"	313053
	"< 1 year"	"0"	"1994"	"1994"	"Utah"	"49"	37653
	"< 1 year"	"0"	"1994"	"1994"	"Vermont"	"50"	7115
	"< 1 year"	"0"	"1994"	"1994"	"Virginia"	"51"	91178
	"< 1 year"	"0"	"1994"	"1994"	"Washington"	"53"	76080
	"< 1 year"	"0"	"1994"	"1994"	"West Virginia"	"54"	21014
	"< 1 year"	"0"	"1994"	"1994"	"Wisconsin"	"55"	63863
	"< 1 year"	"0"	"1994"	"1994"	"Wyoming"	"56"	6338
	"< 1 year"	"0"	"1995"	"1995"	"Alabama"	"01"	58148
	"< 1 year"	"0"	"1995"	"1995"	"Alaska"	"02"	9588
	"< 1 year"	"0"	"1995"	"1995"	"Arizona"	"04"	71121
	"< 1 year"	"0"	"1995"	"1995"	"Arkansas"	"05"	34739
	"< 1 year"	"0"	"1995"	"1995"	"California"	"06"	528892
	"< 1 year"	"0"	"1995"	"1995"	"Colorado"	"08"	53376
	"< 1 year"	"0"	"1995"	"1995"	"Connecticut"	"09"	44154
	"< 1 year"	"0"	"1995"	"1995"	"Delaware"	"10"	9901
	"< 1 year"	"0"	"1995"	"1995"	"District of Columbia"	"11"	7284
	"< 1 year"	"0"	"1995"	"1995"	"Florida"	"12"	182240
	"< 1 year"	"0"	"1995"	"1995"	"Georgia"	"13"	107526
	"< 1 year"	"0"	"1995"	"1995"	"Hawaii"	"15"	17422
	"< 1 year"	"0"	"1995"	"1995"	"Idaho"	"16"	17768
	"< 1 year"	"0"	"1995"	"1995"	"Illinois"	"17"	179719
	"< 1 year"	"0"	"1995"	"1995"	"Indiana"	"18"	81475
	"< 1 year"	"0"	"1995"	"1995"	"Iowa"	"19"	36092
	"< 1 year"	"0"	"1995"	"1995"	"Kansas"	"20"	35982
	"< 1 year"	"0"	"1995"	"1995"	"Kentucky"	"21"	51845
	"< 1 year"	"0"	"1995"	"1995"	"Louisiana"	"22"	63471
	"< 1 year"	"0"	"1995"	"1995"	"Maine"	"23"	13810
	"< 1 year"	"0"	"1995"	"1995"	"Maryland"	"24"	72192
	"< 1 year"	"0"	"1995"	"1995"	"Massachusetts"	"25"	81429
	"< 1 year"	"0"	"1995"	"1995"	"Michigan"	"26"	132694
	"< 1 year"	"0"	"1995"	"1995"	"Minnesota"	"27"	62332
	"< 1 year"	"0"	"1995"	"1995"	"Mississippi"	"28"	39903
	"< 1 year"	"0"	"1995"	"1995"	"Missouri"	"29"	71366
	"< 1 year"	"0"	"1995"	"1995"	"Montana"	"30"	10809
	"< 1 year"	"0"	"1995"	"1995"	"Nebraska"	"31"	22545
	"< 1 year"	"0"	"1995"	"1995"	"Nevada"	"32"	24671
	"< 1 year"	"0"	"1995"	"1995"	"New Hampshire"	"33"	14711
	"< 1 year"	"0"	"1995"	"1995"	"New Jersey"	"34"	112931
	"< 1 year"	"0"	"1995"	"1995"	"New Mexico"	"35"	26701
	"< 1 year"	"0"	"1995"	"1995"	"New York"	"36"	261455
	"< 1 year"	"0"	"1995"	"1995"	"North Carolina"	"37"	98836
	"< 1 year"	"0"	"1995"	"1995"	"North Dakota"	"38"	8289
	"< 1 year"	"0"	"1995"	"1995"	"Ohio"	"39"	151516
	"< 1 year"	"0"	"1995"	"1995"	"Oklahoma"	"40"	44025
	"< 1 year"	"0"	"1995"	"1995"	"Oregon"	"41"	42143
	"< 1 year"	"0"	"1995"	"1995"	"Pennsylvania"	"42"	148939
	"< 1 year"	"0"	"1995"	"1995"	"Rhode Island"	"44"	13276
	"< 1 year"	"0"	"1995"	"1995"	"South Carolina"	"45"	50004
	"< 1 year"	"0"	"1995"	"1995"	"South Dakota"	"46"	10025
	"< 1 year"	"0"	"1995"	"1995"	"Tennessee"	"47"	71218
	"< 1 year"	"0"	"1995"	"1995"	"Texas"	"48"	314104
	"< 1 year"	"0"	"1995"	"1995"	"Utah"	"49"	39035
	"< 1 year"	"0"	"1995"	"1995"	"Vermont"	"50"	6806
	"< 1 year"	"0"	"1995"	"1995"	"Virginia"	"51"	89849
	"< 1 year"	"0"	"1995"	"1995"	"Washington"	"53"	75763
	"< 1 year"	"0"	"1995"	"1995"	"West Virginia"	"54"	20906
	"< 1 year"	"0"	"1995"	"1995"	"Wisconsin"	"55"	62127
	"< 1 year"	"0"	"1995"	"1995"	"Wyoming"	"56"	6233
	"< 1 year"	"0"	"1996"	"1996"	"Alabama"	"01"	57371
	"< 1 year"	"0"	"1996"	"1996"	"Alaska"	"02"	9375
	"< 1 year"	"0"	"1996"	"1996"	"Arizona"	"04"	72421
	"< 1 year"	"0"	"1996"	"1996"	"Arkansas"	"05"	35236
	"< 1 year"	"0"	"1996"	"1996"	"California"	"06"	511446
	"< 1 year"	"0"	"1996"	"1996"	"Colorado"	"08"	54384
	"< 1 year"	"0"	"1996"	"1996"	"Connecticut"	"09"	43207
	"< 1 year"	"0"	"1996"	"1996"	"Delaware"	"10"	9802
	"< 1 year"	"0"	"1996"	"1996"	"District of Columbia"	"11"	6773
	"< 1 year"	"0"	"1996"	"1996"	"Florida"	"12"	182167
	"< 1 year"	"0"	"1996"	"1996"	"Georgia"	"13"	108569
	"< 1 year"	"0"	"1996"	"1996"	"Hawaii"	"15"	16557
	"< 1 year"	"0"	"1996"	"1996"	"Idaho"	"16"	18276
	"< 1 year"	"0"	"1996"	"1996"	"Illinois"	"17"	175637
	"< 1 year"	"0"	"1996"	"1996"	"Indiana"	"18"	81109
	"< 1 year"	"0"	"1996"	"1996"	"Iowa"	"19"	36189
	"< 1 year"	"0"	"1996"	"1996"	"Kansas"	"20"	35642
	"< 1 year"	"0"	"1996"	"1996"	"Kentucky"	"21"	51520
