Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2000,All,All Origins,666,A,8,Deaths,absolute number,attributable,25,150,C,240.536975241191,126.926317671809,406.28656694133,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,85,150,A,1.37344603628976,0.760623879993481,2.23098138718851,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,85,150,B,1.37344603628976,0.760623879993481,2.23098138718851,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,85,150,C,1.19500862373285,0.600844946466743,2.0395354542085,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,crude rate,attributable,25,150,A,9.77237309021898,5.66580244945503,15.6754760652212,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,crude rate,attributable,25,150,B,9.77237309021898,5.66580244945503,15.6754760652212,nvss,GBD
2000,All,All Origins,666,A,8,Deaths,crude rate,attributable,25,150,C,8.63197809649072,4.55491382525567,14.5801149416608,nvss,GBD
2000,All,All Origins,666,A,8,YLL,absolute number,attributable,25,150,A,5949.41852872617,3411.51844054177,9604.77226265639,nvss,GBD
2000,All,All Origins,666,A,8,YLL,absolute number,attributable,25,150,B,5949.41852872617,3411.51844054177,9604.77226265639,nvss,GBD
2000,All,All Origins,666,A,8,YLL,absolute number,attributable,25,150,C,5283.10869818726,2771.62093003209,8943.63062393267,nvss,GBD
2000,All,All Origins,666,A,8,YLL,age-adjusted rate,attributable,85,150,A,11.9905244558283,6.66167041647878,19.4320008190958,nvss,GBD
2000,All,All Origins,666,A,8,YLL,age-adjusted rate,attributable,85,150,B,11.9905244558283,6.66167041647878,19.4320008190958,nvss,GBD
2000,All,All Origins,666,A,8,YLL,age-adjusted rate,attributable,85,150,C,10.4327572933846,5.26598296161516,17.7737120516904,nvss,GBD
2000,All,All Origins,666,A,8,YLL,crude rate,attributable,25,150,A,213.50252024798,122.426718075267,344.679580799991,nvss,GBD
2000,All,All Origins,666,A,8,YLL,crude rate,attributable,25,150,B,213.50252024798,122.426718075267,344.679580799991,nvss,GBD
2000,All,All Origins,666,A,8,YLL,crude rate,attributable,25,150,C,189.591136740638,99.4631745735664,320.953664489542,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,absolute number,attributable,25,150,A,661.225476249019,494.611579962006,877.145231367935,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,absolute number,attributable,25,150,B,636.063965428063,469.869834704166,851.728902854027,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,absolute number,attributable,25,150,C,378.351246215749,219.731221134086,589.207867536189,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,age-adjusted rate,attributable,85,150,A,3.00719057116969,2.10831568148845,4.20552720502847,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,age-adjusted rate,attributable,85,150,B,2.88480308276382,1.99657300470597,4.0814387534554,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,age-adjusted rate,attributable,85,150,C,1.67522129955619,0.903395512221294,2.75000858506071,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,crude rate,attributable,25,150,A,28.7863810769932,21.5328627484974,38.1864247476689,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,crude rate,attributable,25,150,B,27.690977368301,20.4557334891374,37.0799275777023,nvss,GBD
2000,All,All Origins,666,A,9,Deaths,crude rate,attributable,25,150,C,16.4714814321826,9.56597543996739,25.6511021091868,nvss,GBD
2000,All,All Origins,666,A,9,YLL,absolute number,attributable,25,150,A,13699.9970956718,10235.3539087478,18144.5927870202,nvss,GBD
2000,All,All Origins,666,A,9,YLL,absolute number,attributable,25,150,B,13192.7004527071,9740.57793717667,17632.9072417906,nvss,GBD
2000,All,All Origins,666,A,9,YLL,absolute number,attributable,25,150,C,7926.50995877818,4639.00247402755,12403.3928276355,nvss,GBD
2000,All,All Origins,666,A,9,YLL,age-adjusted rate,attributable,85,150,A,25.8017450995709,18.11599190768,35.99016992092,nvss,GBD
2000,All,All Origins,666,A,9,YLL,age-adjusted rate,attributable,85,150,B,24.751285024829,17.1746582768627,34.9222129015677,nvss,GBD
2000,All,All Origins,666,A,9,YLL,age-adjusted rate,attributable,85,150,C,14.3727012915905,7.79249628387984,23.5528665657048,nvss,GBD
2000,All,All Origins,666,A,9,YLL,crude rate,attributable,25,150,A,596.427922570221,445.595048373703,789.922925258432,nvss,GBD
2000,All,All Origins,666,A,9,YLL,crude rate,attributable,25,150,B,574.342816947398,424.055028853912,767.646749240341,nvss,GBD
2000,All,All Origins,666,A,9,YLL,crude rate,attributable,25,150,C,345.07977154534,201.958481382196,539.980393086812,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,absolute number,attributable,25,150,A,226.180214826267,184.05503058555,279.648778880443,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,absolute number,attributable,25,150,B,178.685301869928,137.439636651005,232.045089690863,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,absolute number,attributable,25,150,C,92.7930555088654,53.7344177654296,144.48135917489,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,age-adjusted rate,attributable,85,150,A,4.8934413102528,3.69349761984929,6.451467922563,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,age-adjusted rate,attributable,85,150,B,3.80541380102488,2.70539981709546,5.28410793717085,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,age-adjusted rate,attributable,85,150,C,1.94359858318136,1.02950292194408,3.21055035776771,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,crude rate,attributable,25,150,A,43.8753796902979,35.7037610785422,54.2474343422664,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,crude rate,attributable,25,150,B,34.6621187473916,26.6611128970381,45.0130725327859,nvss,GBD
2000,All,All Origins,666,A,10,Deaths,crude rate,attributable,25,150,C,18.000383217434,10.4236260616617,28.0270955478481,nvss,GBD
2000,All,All Origins,666,A,10,YLL,absolute number,attributable,25,150,A,5012.36375939155,4068.81370609944,6191.26190353633,nvss,GBD
2000,All,All Origins,666,A,10,YLL,absolute number,attributable,25,150,B,3973.99066638351,3046.57056948485,5146.68586403111,nvss,GBD
2000,All,All Origins,666,A,10,YLL,absolute number,attributable,25,150,C,2072.84964306672,1200.56965313369,3254.5433200297,nvss,GBD
2000,All,All Origins,666,A,10,YLL,age-adjusted rate,attributable,85,150,A,42.4417882440774,32.1163326956428,55.790080432841,nvss,GBD
2000,All,All Origins,666,A,10,YLL,age-adjusted rate,attributable,85,150,B,33.0031440328644,23.5561740120331,45.7280818871033,nvss,GBD
2000,All,All Origins,666,A,10,YLL,age-adjusted rate,attributable,85,150,C,16.8553486759317,8.97620414134586,27.8145146533946,nvss,GBD
2000,All,All Origins,666,A,10,YLL,crude rate,attributable,25,150,A,972.319189183356,789.285421721462,1201.00675909424,nvss,GBD
2000,All,All Origins,666,A,10,YLL,crude rate,attributable,25,150,B,770.891253716447,590.986442346908,998.375550242114,nvss,GBD
2000,All,All Origins,666,A,10,YLL,crude rate,attributable,25,150,C,402.100003310674,232.891499445921,631.329862315802,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,absolute number,attributable,25,150,A,176.518578386527,146.673297625438,214.769999273932,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,absolute number,attributable,25,150,B,126.53724482469,97.3841504102798,164.701756808629,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,absolute number,attributable,25,150,C,65.6295838092996,38.1338783927279,102.493194288991,nvss,GBD
