Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,label_cause,value,min_age,max_age,scenario,method,mean,lower,upper
1991,6,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,569.464357744981,25,150,B,di_coxme,38.0392719347333,29.7181811990103,46.3603626704561
1991,6,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,569.464357744981,25,150,B,di_coxme,55.4739382381526,45.9641202544694,64.9837562218359
1991,6,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,569.464357744981,25,150,C,di_coxme,16.3869062828193,12.8022705334526,19.9715420321861
1991,6,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,569.464357744981,25,150,C,di_coxme,23.8975716624448,19.80084509174,27.9942982331497
1991,6,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1135.98420987109,25,150,A,di_gee,445.031194419015,425.775036968192,464.287351869838
1991,6,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1135.98420987109,25,150,A,di_gee,462.147778819746,440.752048318832,481.403936270569
1991,6,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1135.98420987109,25,150,B,di_gee,164.375607712534,157.263201609588,171.488013815481
1991,6,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1135.98420987109,25,150,B,di_gee,170.697746470709,162.795073022991,177.810152573655
1991,6,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1135.98420987109,25,150,C,di_gee,70.8356833636286,67.7706778334716,73.9006888937857
1991,6,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1135.98420987109,25,150,C,di_gee,73.5601327237682,70.1545710235937,76.6251382539252
1991,6,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,859.480109352465,25,150,A,di_gee,85.0956762619739,81.04350120188,87.7971263020365
1991,6,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,859.480109352465,25,150,A,di_gee,91.8493013621307,87.7971263020365,94.5507514021934
1991,6,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,859.480109352465,25,150,B,di_gee,36.6955169022576,34.9481113354835,37.8604539467737
1991,6,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,859.480109352465,25,150,B,di_gee,39.607859513548,37.8604539467737,40.7727965580641
1991,6,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,859.480109352465,25,150,C,di_gee,16.1052639746085,15.3383466424844,16.6165421960247
1991,6,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,859.480109352465,25,150,C,di_gee,17.3834595281489,16.6165421960247,17.8947377495651
1991,8,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,542.052048637217,25,150,A,di_coxme,28.4348762088999,22.214747038203,34.6550053795968
1991,8,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,542.052048637217,25,150,A,di_coxme,41.4675278046457,34.3588087524208,48.5762468568707
1991,8,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,542.052048637217,25,150,B,di_coxme,28.3360166084383,22.1375129753424,34.5345202415342
1991,8,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,542.052048637217,25,150,B,di_coxme,41.3233575539725,34.239353401863,48.4073617060821
1991,8,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,542.052048637217,25,150,C,di_coxme,15.0015453372265,11.7199572947082,18.2831333797447
1991,8,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,542.052048637217,25,150,C,di_coxme,21.8772536167886,18.126867282482,25.6276399510952
1991,8,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1006.69327682111,25,150,A,di_gee,120.45930557052,115.247124079488,125.671487061552
1991,8,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1006.69327682111,25,150,A,di_gee,125.092355784771,119.301043016957,130.304537275803
1991,8,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1006.69327682111,25,150,B,di_gee,120.393407022027,115.184076910497,125.602737133557
1991,8,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1006.69327682111,25,150,B,di_gee,125.02392267672,119.235778108353,130.23325278825
1991,8,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1006.69327682111,25,150,C,di_gee,61.7859844679938,59.1125524477441,64.4594164882436
1991,8,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1006.69327682111,25,150,C,di_gee,64.1623684859936,61.1918884634939,66.8358005062434
1991,8,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,823.171057274442,25,150,A,di_gee,24.0613003344188,22.9155241280179,24.825151138686
1991,8,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,823.171057274442,25,150,A,di_gee,25.970927345087,24.825151138686,26.7347781493542
1991,8,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,823.171057274442,25,150,B,di_gee,24.0138086057293,22.8702939102184,24.7761517360699
1991,8,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,823.171057274442,25,150,B,di_gee,25.9196664315809,24.7761517360699,26.6820095619215
1991,8,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,823.171057274442,25,150,C,di_gee,13.2676389636444,12.6358466320423,13.6888338513792
1991,8,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,823.171057274442,25,150,C,di_gee,14.3206261829813,13.6888338513792,14.7418210707161
1991,9,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,359.787340820685,25,150,A,di_coxme,39.6124415431743,30.9472199556049,48.2776631307437
1991,9,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,359.787340820685,25,150,A,di_coxme,57.7681439171291,47.8650335313357,67.6712543029227
1991,9,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,359.787340820685,25,150,B,di_coxme,24.1768063851251,18.888129988379,29.4654827818712
1991,9,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,359.787340820685,25,150,B,di_coxme,35.257842644974,29.2136410486928,41.3020442412553
1991,9,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,359.787340820685,25,150,C,di_coxme,10.3618754156357,8.09521516846541,12.6285356628061
1991,9,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,359.787340820685,25,150,C,di_coxme,15.1110683144688,12.5205994605599,17.7015371683777
1991,9,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1032.08027797606,25,150,A,di_gee,261.223520859995,249.920580053553,272.526461666437
1991,9,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1032.08027797606,25,150,A,di_gee,271.27057935461,258.711756236341,282.573520161052
1991,9,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1032.08027797606,25,150,B,di_gee,150.26909064071,143.767062680295,156.771118601126
1991,9,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1032.08027797606,25,150,B,di_gee,156.048671049968,148.824195538396,162.550699010384
1991,9,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1032.08027797606,25,150,C,di_gee,64.4018093457061,61.6151925951707,67.1884260962414
1991,9,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1032.08027797606,25,150,C,di_gee,66.8788020128486,63.7825611789204,69.665418763384
1991,9,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,800.009344960262,25,150,A,di_gee,54.129612224512,51.5520116423924,55.8480126125917
1991,9,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,800.009344960262,25,150,A,di_gee,58.4256131947114,55.8480126125917,60.1440135827912
