Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,method,mean,lower,upper,attr,min_age,max_age
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,24.6821146682629,20.4508950108464,28.9133343256794,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.924878629666,13.2225614294266,20.6271958299054,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,24.6821146682629,20.4508950108464,28.9133343256794,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.924878629666,13.2225614294266,20.6271958299054,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,24.6821146682629,20.4508950108464,28.9133343256794,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.924878629666,13.2225614294266,20.6271958299054,attributable,25,150
1994,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,24.6821146682629,20.4508950108464,28.9133343256794,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,299.18192370063,286.236552002045,312.127295399215,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,310.688920766039,296.305174434278,323.634292464624,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,298.082113217356,285.184329472374,310.979896962338,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,309.546809879562,295.215939051804,322.444593624544,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,297.364118052887,284.497401406368,310.230834699406,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,308.80119951646,294.504847686994,321.667916162979,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,297.063754753722,284.21003459611,309.917474911336,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,308.489283782712,294.207372496475,321.343003940325,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,296.313979307929,283.492701357105,309.135257258753,attributable,25,150
1994,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,307.710670819772,293.464806429968,320.531948770596,attributable,25,150
