Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr,min_age,max_age
2001,1,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,1214.54375962399,5037.55316552619,9989.30625193987,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,658.708302616436,2731.853074985,5416.70189875797,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,8.7134645439554,36.1372474183588,71.6527175269063,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,58.5171029660998,242.687282128035,481.198888016535,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,11902.9439395619,49364.9372165282,97880.5015545369,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,72.7285228821834,301.626134186595,598.06249052121,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,1057.41159378803,4385.3904718379,8695.32593575877,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,609.55225197769,2528.50529230261,5014.42794383097,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,9.81841534838836,40.7281165640478,80.7703295777496,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,59.3428791707011,246.162299551449,488.178971721426,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,14240.075426188,59069.7613881057,117144.726982243,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,85.8036890244806,355.925322387994,705.856494717513,EPA,attributable,25,150
2001,1,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,1386.34066670444,5750.72883632755,11404.6094592173,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,10.7705667497675,46.2041885342054,94.5024493046085,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,4.07544057819809,17.483056296836,35.7584819427837,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,19.8737277419827,85.2554452148823,174.374848795292,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,325.919238442784,1398.1468468463,2859.66068675082,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,35.4454389416438,152.055855702554,311.003206654337,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,601.382486286159,2579.8447215542,5276.61350078572,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,4.85098486367083,20.8136397777015,42.5768029642168,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,3.30246305296085,14.169550780969,28.9855199828678,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,17.5322016107226,75.2236791271876,153.879081152975,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,142.389519982482,610.936595417983,1249.74426984214,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,28.5720423846036,122.591229331594,250.775100950112,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,514.617514122239,2208.01834333725,4516.76703112558,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,5.91166402051412,25.3555542468737,51.8523041512696,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,5.81544389043778,24.9428591547091,51.0083395022502,EPA,attributable,25,150
