Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2000,2,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,36.5913181955453,53.0499049945435,67.4762087333253,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,796.919272396966,1155.36946395461,1469.55873195117,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,21411.2961596535,31041.9870912968,39483.4939041828,EPA,attributable
2000,2,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,1468.54249879661,2129.08536460143,2708.06532995093,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,5.33337750535576,7.76984302262001,9.88870699703205,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,333.782320947634,486.265267156613,618.871544218638,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,16.5663710795669,24.1344443766541,30.7159936541966,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,152.137605866666,221.639160969607,282.080952667356,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,7861.67712007363,11453.1546015925,14576.4708137781,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,472.565092460289,688.448658040649,876.191068731304,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,2.2449406211319,3.26952353412617,4.16098557682667,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,266.870376946615,388.669067580124,494.642833268916,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,13.2828863447837,19.3451484179999,24.6197596404158,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,56.5386824019686,82.3427359109916,104.794149026872,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,5642.56200744843,8217.80723394685,10458.4588600411,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,334.528621986679,487.206294958828,620.047032878955,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,3.08088902019352,4.48986686341749,5.71450068322411,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,443.734772984092,646.667257505501,823.049011752007,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,20.1457465519749,29.3589672622605,37.3667735776114,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,95.2871972549951,138.864732438903,176.740788209884,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,age-adjusted rate,11002.1911372103,16033.8048816972,20407.1059874144,EPA,attributable
2000,2,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,623.077206924705,908.0280679978,1155.69730079045,EPA,attributable
2000,2,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,4.98096887973771,7.21560291986394,9.17717669361854,EPA,attributable
2000,2,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,679.380744960521,984.174325396429,1251.72376886507,EPA,attributable
2000,2,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,18.6504245319119,27.0176467587671,34.3624394114597,EPA,attributable
2000,2,Black or African American,All Origins,A,666,nvss,YLL,absolute number,160.81811259755,232.966651838827,296.299027453404,EPA,attributable
2000,2,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,16241.5501460701,23528.0684313914,29924.2133543705,EPA,attributable
2000,2,Black or African American,All Origins,A,666,nvss,YLL,crude rate,602.157159537013,872.305582202521,1109.44331992887,EPA,attributable
2000,2,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,2.6846253530843,3.88876089357742,4.94588485948653,EPA,attributable
2000,2,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,685.429349471774,992.865111131335,1262.76638112852,EPA,attributable
2000,2,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,21.0922796439685,30.5528040035938,38.8583034214844,EPA,attributable
2000,2,Black or African American,All Origins,F,666,nvss,YLL,absolute number,81.6278814469795,118.240451253989,150.383032960912,EPA,attributable
2000,2,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,16257.0985095487,23548.8981188146,29950.4499892999,EPA,attributable
