Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1993,2,Black or African American,All Origins,A,666,nvss,YLL,absolute number,A,17.1341836711411,75.9580708158695,159.958706338318,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,YLL,absolute number,B,17.1341836711411,75.9580708158695,159.958706338318,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,A,205.802345750778,912.348638992296,1921.29824329665,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,B,205.802345750778,912.348638992296,1921.29824329665,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,YLL,crude rate,A,129.706159509017,575.004321089095,1210.89103965419,EPA,attributable,25,150
1993,2,Black or African American,All Origins,A,666,nvss,YLL,crude rate,B,129.706159509017,575.004321089095,1210.89103965419,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,Deaths,absolute number,A,13.6783123190379,60.6377424050261,127.695908100363,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,Deaths,absolute number,B,13.6783123190379,60.6377424050261,127.695908100363,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,7.3692022489796,32.6686346445111,68.7962777285726,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,7.3692022489796,32.6686346445111,68.7962777285726,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,Deaths,crude rate,A,4.83006603989459,21.4123126812032,45.0917960317817,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,Deaths,crude rate,B,4.83006603989459,21.4123126812032,45.0917960317817,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,YLL,absolute number,A,407.476970708079,1806.39855337905,3804.06153850807,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,YLL,absolute number,B,407.476970708079,1806.39855337905,3804.06153850807,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,YLL,age-adjusted rate,A,151.807159570456,672.980936724181,1417.21819515009,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,YLL,age-adjusted rate,B,151.807159570456,672.980936724181,1417.21819515009,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,YLL,crude rate,A,143.887683827551,637.872867915664,1343.28475781648,EPA,attributable,25,150
1993,2,White,All Origins,A,666,nvss,YLL,crude rate,B,143.887683827551,637.872867915664,1343.28475781648,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,Deaths,absolute number,A,914.167534611642,3858.78214142957,7775.24130416775,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,Deaths,absolute number,B,891.795210731998,3772.61287721846,7616.44118217013,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,23.9460118944723,101.078237367185,203.667286030989,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,23.3599837175293,98.821090676219,199.507622220773,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,Deaths,crude rate,A,35.636850428349,150.426302404328,303.101019135031,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,Deaths,crude rate,B,34.7647136157328,147.06717941653,296.910538745639,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,YLL,absolute number,A,20375.1331995412,86005.2420840335,173296.000167293,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,YLL,absolute number,B,19876.4947533349,84084.6857641751,169756.634005947,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,YLL,age-adjusted rate,A,519.648280591284,2193.4814233171,4419.7487024187,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,YLL,age-adjusted rate,B,506.930984038167,2144.49947165969,4329.48055437206,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,YLL,crude rate,A,794.280639815332,3352.72893879863,6755.57094730621,EPA,attributable,25,150
1993,4,All,All Origins,A,666,nvss,YLL,crude rate,B,774.84229503444,3277.86019131124,6617.59638823745,EPA,attributable,25,150
