Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,min_age,max_age,value,measure1,measure2
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,85,150,2.41176163630508,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,45,49,3.40697525694249,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,80,84,10.2037738066579,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,50,54,5.65797334232559,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,55,59,10.6972093765578,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,60,64,10.2464723026371,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,75,79,16.2595752252645,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,70,74,14.4265829581048,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,neo_lung,total,nvss,65,69,15.4169791608297,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,0,4,0.00177293667576121,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,25,29,0.00528095412916956,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,10,14,0.00838851124135628,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,15,19,0.00920113025622049,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,20,24,0.0189158917035538,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,30,34,0.0245154023105521,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,35,39,0.0785259864074301,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,40,44,0.169398064557047,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,45,49,0.363851726469587,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,50,54,0.865881434397958,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,55,59,2.04350277776396,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,60,64,2.28044122405397,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,65,69,4.45690852103985,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,80,84,6.94150958481776,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,85,150,2.8252064882431,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,70,74,5.48332782742782,Deaths,age-adjusted rate
