Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,measure1,measure2,min_age,max_age,value
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,0,4,4.68501837737017
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,5,9,1.48096634403414
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,10,14,2.70418621011927
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,15,19,10.7890134973741
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,20,24,13.8235430341747
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,25,29,13.5384237235022
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,30,34,17.1777646344728
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,35,39,24.1413002443313
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,40,44,39.48625308686
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,45,49,75.7822661625797
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,50,54,110.95580451804
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,55,59,144.33831913183
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,60,64,218.082483988378
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,65,69,240.659714372117
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,70,74,385.929093549597
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,75,79,537.90278873534
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,80,84,866.161667440948
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,Deaths,age-adjusted rate,85,150,102.965355952415
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,0,4,617.839910008737
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,5,9,40.3544296324025
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,10,14,51.1987440963185
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,15,19,95.7642113908736
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,20,24,117.775111980126
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,25,29,112.326789629102
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,30,34,125.376074439338
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,35,39,150.178858403972
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,40,44,191.415960623841
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,45,49,236.037353814019
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,50,54,247.638565507688
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,55,59,253.145489345306
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,60,64,251.609839628715
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,65,69,250.39029094674
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,70,74,270.107485907148
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,75,79,285.922953132401
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,80,84,245.082626399145
2006,666,F,White,Hispanic or Latino,us,all-cause,overall,nvss,YLL,crude rate,85,150,299.843017970488
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,0,4,0.00153047352305918
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,10,14,0.0147320339528513
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,15,19,0.0209149491572365
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,20,24,0.061791127909356
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,25,29,0.058439918060229
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,30,34,0.362895580070845
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,35,39,0.542111538220871
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,40,44,1.60132865617946
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,45,49,5.19155652609089
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,50,54,8.35960310361634
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,55,59,16.574634849816
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,60,64,29.443254612136
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,65,69,35.503229974544
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,70,74,67.9387183818319
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,75,79,103.187302575839
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,80,84,191.182381053592
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,Deaths,age-adjusted rate,85,150,26.1907687446276
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,0,4,0.21887001277556
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,10,14,0.389344061568962
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,15,19,0.182408021696902
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,20,24,0.510585745578579
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,25,29,0.473952698856972
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,30,34,2.62415039524195
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,35,39,3.34027709973248
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,40,44,7.65178015184137
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,45,49,16.0859949052669
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,50,54,18.5460494467721
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,55,59,28.9775916811713
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,60,64,34.198672309618
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,65,69,36.8090804069216
