Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2013,A,All,65,150,All Origins,666,us,t2_dm,total,6.07257669765544,lower,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,t2_dm,total,0.00919144318246514,middle,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,t2_dm,total,0.0710609981356838,middle,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,t2_dm,total,0.851678420499054,middle,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,t2_dm,total,3.28871722752633,middle,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,25,34,All Origins,666,us,all-cause,overall,18.2960782247284,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,all-cause,overall,34.0248135615372,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,all-cause,overall,56.6209130974109,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,all-cause,overall,67.317295002676,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,all-cause,overall,103.519978910935,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,all-cause,overall,163.217795806905,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,all-cause,overall,128.985946480571,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,25,34,All Origins,666,us,cvd_ihd,total,0.237868839324746,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,cvd_ihd,total,1.96723270591949,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,cvd_ihd,total,5.6055441538036,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,cvd_ihd,total,9.30384006319201,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,cvd_ihd,total,15.7076056328579,666,nvss,Deaths,age-adjusted rate
