Year,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,Education,source,measure1,measure2,min_age,max_age,value
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,65,69,31150.92604742
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,70,74,32954.13378576
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,75,79,28015.55706222
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,80,84,19077.00239357
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,absolute number,85,150,17175.497125926
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,age-adjusted rate,85,150,457.821946457191
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,25,29,17.5793316498982
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,30,34,29.948337563528
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,35,39,58.3254267245645
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,40,44,124.232464489078
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,45,49,198.56912146208
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,50,54,255.661009962433
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,55,59,305.80788359729
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,60,64,335.768690674484
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,65,69,328.328097076618
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,70,74,347.333752461044
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,75,79,295.281576052598
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,80,84,201.069974108384
2002,M,White,Hispanic or Latino,us,cvd_ihd,total,666,nvss,YLL,crude rate,85,150,181.028271169719
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,25,29,17
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,30,34,13
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,35,39,25
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,40,44,61
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,45,49,100
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,50,54,106
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,55,59,105
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,60,64,124
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,65,69,129
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,70,74,175
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,75,79,182
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,80,84,166
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,absolute number,85,150,216
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,age-adjusted rate,85,150,6.02892623032358
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,25,29,0.179178546467795
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,30,34,0.137018888475373
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,35,39,0.26349786245264
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,40,44,0.642934784384442
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,45,49,1.05399144981056
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,50,54,1.11723093679919
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,55,59,1.10669102230109
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,60,64,1.3069493977651
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,65,69,1.35964897025562
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,70,74,1.84448503716848
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,75,79,1.91826443865522
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,80,84,1.74962580668553
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,Deaths,crude rate,85,150,2.27662153159081
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,25,29,1090.53810527
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,30,34,769.5516023
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,35,39,1356.315341
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,40,44,3008.36097971
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,45,49,4443.332057
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,50,54,4201.28221422
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,55,59,3666.06249975
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,60,64,3751.42633928
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,65,69,3312.83549886
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,70,74,3725.435021
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,75,79,3112.83967358
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,80,84,2197.62831182
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,absolute number,85,150,1892.148202214
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,age-adjusted rate,85,150,52.0143104989086
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,25,29,11.4941783864719
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,30,34,8.11100809012217
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,35,39,14.295447726609
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,40,44,31.7078675055806
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,45,49,46.8323399674717
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,50,54,44.2811553202906
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,55,59,38.6399852920763
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,60,64,39.5397128619525
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,65,69,34.9170029042734
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,70,74,39.2657665895883
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,75,79,32.8090640058442
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,80,84,23.162814505199
2002,M,White,Hispanic or Latino,us,cvd_stroke,total,666,nvss,YLL,crude rate,85,150,19.9430802690798
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,25,29,6
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,30,34,1
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,35,39,5
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,40,44,4
