"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	18	1724133	Unreliable
	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	10	1719066	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	17	951249	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	26	978978	2.7
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	33	1049876	3.1
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	26	1186773	2.2
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	30	1130159	2.7
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	27	1134316	2.4
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	35	1128658	3.1
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	32	1526816	2.1
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	31	1423643	2.2
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	23	1413732	1.6
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	38	1457164	2.6
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	38	1472525	2.6
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	34	1508549	2.3
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	33	1546517	2.1
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	44	1586466	2.8
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	47	1636525	2.9
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	51	1630275	3.1
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	12	1264348	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	10	1204456	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	15	1622577	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	14	1517929	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	12	1670694	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	10	1711603	Unreliable
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	20	916532	2.2
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	17	948866	Unreliable
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	24	972181	2.5
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	29	1044658	2.8
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	32	1183737	2.7
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	30	1130058	2.7
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	42	1137267	3.7
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	30	1134014	2.6
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	34	1539393	2.2
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	34	1438116	2.4
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	36	1414161	2.5
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	39	1435900	2.7
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	45	1457028	3.1
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	44	1493117	2.9
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	67	1529977	4.4
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	51	1569358	3.2
