"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
29,29,2003,"Not Hispanic or Latino","A","White",2211533,"us",666,666,"CDC"
29,29,2004,"Hispanic or Latino","A","White",694156,"us",666,666,"CDC"
29,29,2004,"Not Hispanic or Latino","A","White",2265183,"us",666,666,"CDC"
29,29,2005,"Hispanic or Latino","A","White",699203,"us",666,666,"CDC"
29,29,2005,"Not Hispanic or Latino","A","White",2170999,"us",666,666,"CDC"
29,29,2006,"Hispanic or Latino","A","White",711734,"us",666,666,"CDC"
29,29,2006,"Not Hispanic or Latino","A","White",2236656,"us",666,666,"CDC"
29,29,2007,"Hispanic or Latino","A","White",721986,"us",666,666,"CDC"
29,29,2007,"Not Hispanic or Latino","A","White",2270220,"us",666,666,"CDC"
29,29,2008,"Hispanic or Latino","A","White",732227,"us",666,666,"CDC"
29,29,2008,"Not Hispanic or Latino","A","White",2335935,"us",666,666,"CDC"
29,29,2009,"Hispanic or Latino","A","White",771674,"us",666,666,"CDC"
29,29,2009,"Not Hispanic or Latino","A","White",2451816,"us",666,666,"CDC"
29,29,2010,"Hispanic or Latino","A","White",769691,"us",666,666,"CDC"
29,29,2010,"Not Hispanic or Latino","A","White",2483887,"us",666,666,"CDC"
29,29,2011,"Hispanic or Latino","A","White",781753,"us",666,666,"CDC"
29,29,2011,"Not Hispanic or Latino","A","White",2501590,"us",666,666,"CDC"
29,29,2012,"Hispanic or Latino","A","White",779715,"us",666,666,"CDC"
29,29,2012,"Not Hispanic or Latino","A","White",2505125,"us",666,666,"CDC"
29,29,2013,"Hispanic or Latino","A","White",766818,"us",666,666,"CDC"
29,29,2013,"Not Hispanic or Latino","A","White",2466251,"us",666,666,"CDC"
29,29,2014,"Hispanic or Latino","A","White",792713,"us",666,666,"CDC"
29,29,2014,"Not Hispanic or Latino","A","White",2551858,"us",666,666,"CDC"
29,29,2015,"Hispanic or Latino","A","White",789987,"us",666,666,"CDC"
29,29,2015,"Not Hispanic or Latino","A","White",2530607,"us",666,666,"CDC"
