Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,effPaf,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL
2006,American Indian or Alaska Native,Not Hispanic or Latino,1630,623,138.204666579952,74.9791368531914,0.0847881390061055,2072967.00020291,78.6312565439028,30.0535416115653,6.66699791006917,3.61699616278754
2006,Asian or Pacific Islander,All Origins,9238,1451,880.633660672014,235.763346509768,0.0953273068491031,12703333.0028735,72.7210724768876,11.42219919506,6.93230399040013,1.85591723413405
2006,Asian or Pacific Islander,Not Hispanic or Latino,9091,1376,902.439203201709,225.493808273303,0.0992673196789912,12494770.0028263,72.7584421157301,11.0126076725602,7.22253553284756,1.8047055545824
2006,Black or African American,All Origins,63772,6630,7256.30215551025,1071.55920070178,0.113785080529233,37176539.2053627,171.538290984334,17.8338278433502,19.5184982534994,2.88235328948318
2006,Black or African American,Hispanic or Latino,21,0,0.991510456406593,0,0.0472147836384092,1027768.20013563,2.04326228396916,0,0.0964721866541258,0
2006,Black or African American,Not Hispanic or Latino,63028,6630,7412.61996389835,1085.3098938033,0.117608363963609,36148771.0052271,174.357241608259,18.3408724989331,20.505869930755,3.00234244103724
2006,White,All Origins,582464,11071,48773.3280887689,1579.50548654162,0.0837362104589621,217938650.037433,267.260534053944,5.07986995335543,22.3793843269157,0.724747761019132
2006,White,Hispanic or Latino,29373,4497,2792.12793705045,697.033581773565,0.0950576358237311,22766158.6044942,129.020448773477,19.7530030345667,12.2643788333235,3.06170924082012
2006,White,Not Hispanic or Latino,550870,9760,45731.5839322577,1374.28584906619,0.0830170165960348,195172491.432939,282.247767580135,5.0007047244942,23.4313676053938,0.704139112523649
2007,American Indian or Alaska Native,All Origins,1535,531,132.369492921012,66.346698824015,0.0862341973426788,2688562.50036647,57.0937071312557,19.7503312616917,4.92343000778181,2.4677387568625
2007,American Indian or Alaska Native,Not Hispanic or Latino,1469,502,126.772209764808,61.0937283609315,0.0862983048092633,2090155.00023673,70.281869040029,24.0173575616709,6.06520615698116,2.92292812513962
2007,Asian or Pacific Islander,All Origins,9190,1497,885.166532232621,247.279311750171,0.096318447468185,13154555.0033524,69.8617322870897,11.3800884911614,6.72897359133045,1.87979989963288
2007,Asian or Pacific Islander,Not Hispanic or Latino,9095,1497,914.641719008627,252.387072570482,0.100565334690338,12936204.0032974,70.3065597734987,11.5721737197281,7.07040271454817,1.95101339238427
2007,Black or African American,All Origins,61976,7001,7153.35692370195,1165.55519034844,0.115421403828933,37603562.4062565,164.814171940498,18.6179168993711,19.0230830962754,3.09958715548321
2007,Black or African American,Hispanic or Latino,26,0,2.02829235324358,0,0.0780112443555223,1080985.40015823,2.40521287301328,0,0.187633649163687,0
2007,Black or African American,Not Hispanic or Latino,61251,6943,7311.13045263024,1169.18285922156,0.119363446354023,36522577.0060983,167.707223917339,19.0101591101874,20.0181122252394,3.20126057650953
2007,White,All Origins,565470,10707,49206.5456954684,1561.86323282223,0.0870188439624886,219139760.043672,258.040804593064,4.88592302823834,22.4544125108388,0.712724716186132
2007,White,Hispanic or Latino,28915,4156,2791.88523622601,646.915264985899,0.0965549104695145,23747169.2052432,121.761881385069,17.5010333403544,11.756707555735,2.72417844583793
2007,White,Not Hispanic or Latino,534538,9725,46172.8520477944,1399.30590212542,0.086378989048102,195392590.838429,273.571273970165,4.97715904081627,23.6308100781442,0.716150953381092
2008,American Indian or Alaska Native,All Origins,1625,624,131.976795050551,73.741166932375,0.0812164892618774,2733446.00041883,59.4487690538248,22.8283273166687,4.8282203134918,2.69773637090604
2008,American Indian or Alaska Native,Not Hispanic or Latino,1524,615,124.683794204348,71.5298485826679,0.081813513257446,2107343.00027055,72.3185546825714,29.183668720329,5.91663503228188,3.39431447910874
2008,Asian or Pacific Islander,All Origins,9803,1447,897.022428203537,224.046430977306,0.0915048891363396,13605777.0038313,72.0502768584223,10.6351882703394,6.59295259617251,1.64670074273756
2008,Asian or Pacific Islander,Not Hispanic or Latino,9670,1396,924.535958870052,219.230291623064,0.095608682406417,13377638.0037684,72.2848084039649,10.4353249774493,6.91105528950338,1.63878176073615
2008,Black or African American,All Origins,62417,7367,6581.01267443979,1137.89108466741,0.105436222093977,38030585.6071503,164.123162984544,19.3712504879622,17.3045262632045,2.99204197490313
2008,Black or African American,Hispanic or Latino,11,0,0.799854901649758,0,0.0727140819681598,1134202.60018084,0.969844364511785,0,0.0705213426174678,0
2008,Black or African American,Not Hispanic or Latino,61663,7337,6715.64063453739,1148.38642808227,0.108908756215841,36896383.0069695,167.124782904471,19.8854180330199,18.2013522389684,3.11246342999352
2008,White,All Origins,580262,11208,46080.9110072164,1462.5869731041,0.0794139733555125,220340870.049911,263.347421596621,5.08666412974643,20.9134651219169,0.66378378771619
2008,White,Hispanic or Latino,29820,4515,2729.68013277421,652.76302237944,0.0915385691741854,24728179.8059923,120.591164549741,18.2585213930946,11.038742657932,2.63975362319736
