Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,age-adjusted rate,730.255157933752,730.255157933752,730.255157933752,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,crude rate,38.7140845877934,38.7140845877934,38.7140845877934,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,absolute number,45567.1741615527,45567.1741615527,45567.1741615527,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,age-adjusted rate,18997.0280012345,18997.0280012345,18997.0280012345,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,crude rate,1282.00929117828,1282.00929117828,1282.00929117828,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,absolute number,623.773527505023,623.773527505023,623.773527505023,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,age-adjusted rate,611.870863705492,611.870863705492,611.870863705492,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,crude rate,35.0701532630189,35.0701532630189,35.0701532630189,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,absolute number,18494.9283842409,18494.9283842409,18494.9283842409,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,age-adjusted rate,15229.3985917084,15229.3985917084,15229.3985917084,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,crude rate,1039.83247833271,1039.83247833271,1039.83247833271,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,absolute number,752.612025637292,752.612025637292,752.612025637292,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,age-adjusted rate,873.59629295491,873.59629295491,873.59629295491,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,crude rate,42.3837001424946,42.3837001424946,42.3837001424946,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,absolute number,27095.5805857112,27095.5805857112,27095.5805857112,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,age-adjusted rate,23195.5557181526,23195.5557181526,23195.5557181526,burnett,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,crude rate,1525.90036248642,1525.90036248642,1525.90036248642,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,absolute number,5385.39675601487,5385.39675601487,5385.39675601487,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,age-adjusted rate,544.776887208808,544.776887208808,544.776887208808,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,crude rate,37.1549732287602,37.1549732287602,37.1549732287602,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,absolute number,134485.263723353,134485.263723353,134485.263723353,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,age-adjusted rate,12451.2756771385,12451.2756771385,12451.2756771385,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,crude rate,927.841828500953,927.841828500953,927.841828500953,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,absolute number,2533.30972620379,2533.30972620379,2533.30972620379,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,age-adjusted rate,438.401288473617,438.401288473617,438.401288473617,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,crude rate,33.7319204258862,33.7319204258862,33.7319204258862,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,absolute number,58239.6165820602,58239.6165820602,58239.6165820602,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,age-adjusted rate,9786.77830150226,9786.77830150226,9786.77830150226,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,crude rate,775.48121805227,775.48121805227,775.48121805227,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,absolute number,2853.36433743755,2853.36433743755,2853.36433743755,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,age-adjusted rate,684.568491177525,684.568491177525,684.568491177525,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,crude rate,40.8540299571932,40.8540299571932,40.8540299571932,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,absolute number,76301.8793805875,76301.8793805875,76301.8793805875,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,age-adjusted rate,15757.4401436341,15757.4401436341,15757.4401436341,burnett,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,crude rate,1092.47852617521,1092.47852617521,1092.47852617521,burnett,attributable
2005,us,Black or African American,All Origins,A,666,wonder,Deaths,absolute number,39674.6216416538,39674.6216416538,39674.6216416538,burnett,attributable
