Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,age-adjusted rate,,20857.6173413712,20857.6173413712,20857.6173413712,burnett,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,crude rate,,1414.63443092555,1414.63443092555,1414.63443092555,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,absolute number,,5238.24046110711,5238.24046110711,5238.24046110711,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,age-adjusted rate,,498.308060929452,498.308060929452,498.308060929452,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,crude rate,,34.8522447834454,34.8522447834454,34.8522447834454,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,absolute number,,129806.50444996,129806.50444996,129806.50444996,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,age-adjusted rate,,11410.9045028701,11410.9045028701,11410.9045028701,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,crude rate,,863.657959416628,863.657959416628,863.657959416628,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,absolute number,,2492.64903624357,2492.64903624357,2492.64903624357,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,age-adjusted rate,,407.777456786182,407.777456786182,407.777456786182,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,crude rate,,31.9624397589692,31.9624397589692,31.9624397589692,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,absolute number,,56561.7326178381,56561.7326178381,56561.7326178381,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,age-adjusted rate,,9063.60870836276,9063.60870836276,9063.60870836276,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,crude rate,,725.27297071272,725.27297071272,725.27297071272,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,absolute number,,2746.53686684474,2746.53686684474,2746.53686684474,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,age-adjusted rate,,616.505240141073,616.505240141073,616.505240141073,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,crude rate,,37.981920583584,37.981920583584,37.981920583584,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,absolute number,,73289.3538233884,73289.3538233884,73289.3538233884,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,age-adjusted rate,,14298.874972538,14298.874972538,14298.874972538,burnett,attributable
2006,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,crude rate,,1013.520135173,1013.520135173,1013.520135173,burnett,attributable
