Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,mean,lower,upper,source
2010,Asian or Pacific Islander,All Origins,666,A,26,YLL,absolute number,attributable,21.4705670077003,21.4705670077003,21.4705670077003,wonder
2010,Asian or Pacific Islander,All Origins,666,A,26,YLL,age-adjusted rate,attributable,38.9583438719277,38.9583438719277,38.9583438719277,wonder
2010,Asian or Pacific Islander,All Origins,666,A,26,YLL,crude rate,attributable,8.03382837460536,8.03382837460536,8.03382837460536,wonder
2010,Asian or Pacific Islander,All Origins,666,A,32,Deaths,absolute number,attributable,1.5232572695282,1.5232572695282,1.5232572695282,wonder
2010,Asian or Pacific Islander,All Origins,666,A,32,Deaths,age-adjusted rate,attributable,1.86344953412889,1.86344953412889,1.86344953412889,wonder
2010,Asian or Pacific Islander,All Origins,666,A,32,Deaths,crude rate,attributable,0.624836339203887,0.624836339203887,0.624836339203887,wonder
2010,Asian or Pacific Islander,All Origins,666,A,32,YLL,absolute number,attributable,31.619388124239,31.619388124239,31.619388124239,wonder
2010,Asian or Pacific Islander,All Origins,666,A,32,YLL,age-adjusted rate,attributable,34.5422422393175,34.5422422393175,34.5422422393175,wonder
2010,Asian or Pacific Islander,All Origins,666,A,32,YLL,crude rate,attributable,12.9701942794836,12.9701942794836,12.9701942794836,wonder
2010,Asian or Pacific Islander,All Origins,666,A,34,Deaths,absolute number,attributable,10.2621556388311,10.2621556388311,10.2621556388311,wonder
2010,Asian or Pacific Islander,All Origins,666,A,34,Deaths,age-adjusted rate,attributable,4.25625192493827,4.25625192493827,4.25625192493827,wonder
2010,Asian or Pacific Islander,All Origins,666,A,34,Deaths,crude rate,attributable,1.30882321701765,1.30882321701765,1.30882321701765,wonder
2010,Asian or Pacific Islander,All Origins,666,A,34,YLL,absolute number,attributable,211.354884116998,211.354884116998,211.354884116998,wonder
2010,Asian or Pacific Islander,All Origins,666,A,34,YLL,age-adjusted rate,attributable,82.7649962976155,82.7649962976155,82.7649962976155,wonder
2010,Asian or Pacific Islander,All Origins,666,A,34,YLL,crude rate,attributable,26.9559524429421,26.9559524429421,26.9559524429421,wonder
2010,Asian or Pacific Islander,All Origins,666,A,36,Deaths,absolute number,attributable,52.3248741438558,52.3248741438558,52.3248741438558,wonder
2010,Asian or Pacific Islander,All Origins,666,A,36,Deaths,age-adjusted rate,attributable,8.4773521430523,8.4773521430523,8.4773521430523,wonder
2010,Asian or Pacific Islander,All Origins,666,A,36,Deaths,crude rate,attributable,3.32962396595954,3.32962396595954,3.32962396595954,wonder
2010,Asian or Pacific Islander,All Origins,666,A,36,YLL,absolute number,attributable,1087.5176674358,1087.5176674358,1087.5176674358,wonder
2010,Asian or Pacific Islander,All Origins,666,A,36,YLL,age-adjusted rate,attributable,175.292030754713,175.292030754713,175.292030754713,wonder
2010,Asian or Pacific Islander,All Origins,666,A,36,YLL,crude rate,attributable,69.2027443571761,69.2027443571761,69.2027443571761,wonder
2010,Asian or Pacific Islander,All Origins,666,A,39,Deaths,absolute number,attributable,0.829771987036882,0.829771987036882,0.829771987036882,wonder
2010,Asian or Pacific Islander,All Origins,666,A,39,Deaths,age-adjusted rate,attributable,1.36067144913839,1.36067144913839,1.36067144913839,wonder
2010,Asian or Pacific Islander,All Origins,666,A,39,Deaths,crude rate,attributable,0.376013697473618,0.376013697473618,0.376013697473618,wonder
2010,Asian or Pacific Islander,All Origins,666,A,39,YLL,absolute number,attributable,17.6643521140112,17.6643521140112,17.6643521140112,wonder
2010,Asian or Pacific Islander,All Origins,666,A,39,YLL,age-adjusted rate,attributable,28.9662461068284,28.9662461068284,28.9662461068284,wonder
2010,Asian or Pacific Islander,All Origins,666,A,39,YLL,crude rate,attributable,8.00465483967955,8.00465483967955,8.00465483967955,wonder
2010,Asian or Pacific Islander,All Origins,666,A,41,Deaths,absolute number,attributable,0.14529350555148,0.14529350555148,0.14529350555148,wonder
2010,Asian or Pacific Islander,All Origins,666,A,41,Deaths,age-adjusted rate,attributable,0.388727770850811,0.388727770850811,0.388727770850811,wonder
2010,Asian or Pacific Islander,All Origins,666,A,41,Deaths,crude rate,attributable,0.0807868341885813,0.0807868341885813,0.0807868341885813,wonder
2010,Asian or Pacific Islander,All Origins,666,A,41,YLL,absolute number,attributable,1.92350073086451,1.92350073086451,1.92350073086451,wonder
2010,Asian or Pacific Islander,All Origins,666,A,41,YLL,age-adjusted rate,attributable,5.14625996874952,5.14625996874952,5.14625996874952,wonder
2010,Asian or Pacific Islander,All Origins,666,A,41,YLL,crude rate,attributable,1.06951466286225,1.06951466286225,1.06951466286225,wonder
2010,Asian or Pacific Islander,All Origins,666,A,42,Deaths,absolute number,attributable,2.67602697379951,2.67602697379951,2.67602697379951,wonder
2010,Asian or Pacific Islander,All Origins,666,A,42,Deaths,age-adjusted rate,attributable,2.30945238763963,2.30945238763963,2.30945238763963,wonder
2010,Asian or Pacific Islander,All Origins,666,A,42,Deaths,crude rate,attributable,0.694186627910772,0.694186627910772,0.694186627910772,wonder
2010,Asian or Pacific Islander,All Origins,666,A,42,YLL,absolute number,attributable,50.2227173279528,50.2227173279528,50.2227173279528,wonder
2010,Asian or Pacific Islander,All Origins,666,A,42,YLL,age-adjusted rate,attributable,40.9169461691644,40.9169461691644,40.9169461691644,wonder
2010,Asian or Pacific Islander,All Origins,666,A,42,YLL,crude rate,attributable,13.0282463995146,13.0282463995146,13.0282463995146,wonder
2010,Asian or Pacific Islander,All Origins,666,A,48,Deaths,absolute number,attributable,16.807295780378,16.807295780378,16.807295780378,wonder
2010,Asian or Pacific Islander,All Origins,666,A,48,Deaths,age-adjusted rate,attributable,5.88977036839944,5.88977036839944,5.88977036839944,wonder
2010,Asian or Pacific Islander,All Origins,666,A,48,Deaths,crude rate,attributable,1.5271557422824,1.5271557422824,1.5271557422824,wonder
2010,Asian or Pacific Islander,All Origins,666,A,48,YLL,absolute number,attributable,411.506486563595,411.506486563595,411.506486563595,wonder
2010,Asian or Pacific Islander,All Origins,666,A,48,YLL,age-adjusted rate,attributable,127.464742670352,127.464742670352,127.464742670352,wonder
2010,Asian or Pacific Islander,All Origins,666,A,48,YLL,crude rate,attributable,37.3905774107769,37.3905774107769,37.3905774107769,wonder
2010,Asian or Pacific Islander,All Origins,666,A,51,Deaths,absolute number,attributable,5.40797930018715,5.40797930018715,5.40797930018715,wonder
2010,Asian or Pacific Islander,All Origins,666,A,51,Deaths,age-adjusted rate,attributable,4.07126361216402,4.07126361216402,4.07126361216402,wonder
2010,Asian or Pacific Islander,All Origins,666,A,51,Deaths,crude rate,attributable,1.08851445793205,1.08851445793205,1.08851445793205,wonder
2010,Asian or Pacific Islander,All Origins,666,A,51,YLL,absolute number,attributable,106.971666001141,106.971666001141,106.971666001141,wonder
2010,Asian or Pacific Islander,All Origins,666,A,51,YLL,age-adjusted rate,attributable,76.9544208903921,76.9544208903921,76.9544208903921,wonder
2010,Asian or Pacific Islander,All Origins,666,A,51,YLL,crude rate,attributable,21.5311854147242,21.5311854147242,21.5311854147242,wonder
2010,Asian or Pacific Islander,All Origins,666,A,53,Deaths,absolute number,attributable,2.73838339173317,2.73838339173317,2.73838339173317,wonder
2010,Asian or Pacific Islander,All Origins,666,A,53,Deaths,age-adjusted rate,attributable,1.27942570063423,1.27942570063423,1.27942570063423,wonder
2010,Asian or Pacific Islander,All Origins,666,A,53,Deaths,crude rate,attributable,0.463627502862672,0.463627502862672,0.463627502862672,wonder
2010,Asian or Pacific Islander,All Origins,666,A,53,YLL,absolute number,attributable,57.3280888841967,57.3280888841967,57.3280888841967,wonder
2010,Asian or Pacific Islander,All Origins,666,A,53,YLL,age-adjusted rate,attributable,26.4809233976058,26.4809233976058,26.4809233976058,wonder
2010,Asian or Pacific Islander,All Origins,666,A,53,YLL,crude rate,attributable,9.70604728815828,9.70604728815828,9.70604728815828,wonder
2010,Black or African American,All Origins,666,A,1,Deaths,absolute number,attributable,119.771044834673,119.771044834673,119.771044834673,wonder
2010,Black or African American,All Origins,666,A,1,Deaths,age-adjusted rate,attributable,23.3353185872352,23.3353185872352,23.3353185872352,wonder
2010,Black or African American,All Origins,666,A,1,Deaths,crude rate,attributable,9.3452342089136,9.3452342089136,9.3452342089136,wonder
2010,Black or African American,All Origins,666,A,1,YLL,absolute number,attributable,3190.69980413373,3190.69980413373,3190.69980413373,wonder
2010,Black or African American,All Origins,666,A,1,YLL,age-adjusted rate,attributable,607.472868925102,607.472868925102,607.472868925102,wonder
2010,Black or African American,All Origins,666,A,1,YLL,crude rate,attributable,248.956974543587,248.956974543587,248.956974543587,wonder
2010,Black or African American,All Origins,666,A,4,Deaths,absolute number,attributable,5.51338459979128,5.51338459979128,5.51338459979128,wonder
2010,Black or African American,All Origins,666,A,4,Deaths,age-adjusted rate,attributable,6.73152494427775,6.73152494427775,6.73152494427775,wonder
2010,Black or African American,All Origins,666,A,4,Deaths,crude rate,attributable,1.73461423014088,1.73461423014088,1.73461423014088,wonder
2010,Black or African American,All Origins,666,A,4,YLL,absolute number,attributable,143.685474249653,143.685474249653,143.685474249653,wonder
2010,Black or African American,All Origins,666,A,4,YLL,age-adjusted rate,attributable,159.094135112241,159.094135112241,159.094135112241,wonder
2010,Black or African American,All Origins,666,A,4,YLL,crude rate,attributable,45.2061458414172,45.2061458414172,45.2061458414172,wonder
2010,Black or African American,All Origins,666,A,5,Deaths,absolute number,attributable,40.1358991497831,40.1358991497831,40.1358991497831,wonder
2010,Black or African American,All Origins,666,A,5,Deaths,age-adjusted rate,attributable,23.3419977512695,23.3419977512695,23.3419977512695,wonder
2010,Black or African American,All Origins,666,A,5,Deaths,crude rate,attributable,8.58527416214074,8.58527416214074,8.58527416214074,wonder
2010,Black or African American,All Origins,666,A,5,YLL,absolute number,attributable,1146.74892995724,1146.74892995724,1146.74892995724,wonder
2010,Black or African American,All Origins,666,A,5,YLL,age-adjusted rate,attributable,643.754015840195,643.754015840195,643.754015840195,wonder
2010,Black or African American,All Origins,666,A,5,YLL,crude rate,attributable,245.295462849439,245.295462849439,245.295462849439,wonder
2010,Black or African American,All Origins,666,A,6,Deaths,absolute number,attributable,303.314345372835,303.314345372835,303.314345372835,wonder
2010,Black or African American,All Origins,666,A,6,Deaths,age-adjusted rate,attributable,28.9562968338115,28.9562968338115,28.9562968338115,wonder
2010,Black or African American,All Origins,666,A,6,Deaths,crude rate,attributable,11.1397543483693,11.1397543483693,11.1397543483693,wonder
2010,Black or African American,All Origins,666,A,6,YLL,absolute number,attributable,7617.60958398995,7617.60958398995,7617.60958398995,wonder
2010,Black or African American,All Origins,666,A,6,YLL,age-adjusted rate,attributable,713.266686541901,713.266686541901,713.266686541901,wonder
2010,Black or African American,All Origins,666,A,6,YLL,crude rate,attributable,279.770148632845,279.770148632845,279.770148632845,wonder
2010,Black or African American,All Origins,666,A,8,Deaths,absolute number,attributable,2.15790027298808,2.15790027298808,2.15790027298808,wonder
2010,Black or African American,All Origins,666,A,8,Deaths,age-adjusted rate,attributable,3.51015304989416,3.51015304989416,3.51015304989416,wonder
2010,Black or African American,All Origins,666,A,8,Deaths,crude rate,attributable,0.873421059805829,0.873421059805829,0.873421059805829,wonder
2010,Black or African American,All Origins,666,A,8,YLL,absolute number,attributable,47.5924751535881,47.5924751535881,47.5924751535881,wonder
2010,Black or African American,All Origins,666,A,8,YLL,age-adjusted rate,attributable,74.5476112976494,74.5476112976494,74.5476112976494,wonder
2010,Black or African American,All Origins,666,A,8,YLL,crude rate,attributable,19.2632952540802,19.2632952540802,19.2632952540802,wonder
2010,Black or African American,All Origins,666,A,9,Deaths,absolute number,attributable,9.81890939359989,9.81890939359989,9.81890939359989,wonder
2010,Black or African American,All Origins,666,A,9,Deaths,age-adjusted rate,attributable,6.71749684625812,6.71749684625812,6.71749684625812,wonder
