Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2004,4,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,10.7060267796112,11.0076049987551,11.3091832178991,attributable,DI
2004,4,Black or African American,All Origins,M,666,wonder,YLL,absolute number,466.467573867166,479.607505525396,492.747437183626,attributable,DI
2004,4,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,1124.5019157118,1156.17802601354,1187.85413631528,attributable,DI
2004,4,Black or African American,All Origins,M,666,wonder,YLL,crude rate,394.162419613302,405.265586362973,416.368753112643,attributable,DI
2004,4,White,Hispanic or Latino,A,666,wonder,Deaths,absolute number,100.772016393379,103.610664742488,106.449313091597,attributable,DI
2004,4,White,Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,28.3775046866181,29.1768710158186,29.9762373450191,attributable,DI
2004,4,White,Hispanic or Latino,A,666,wonder,Deaths,crude rate,6.97375992070533,7.17020386213365,7.36664780356197,attributable,DI
2004,4,White,Hispanic or Latino,A,666,wonder,YLL,absolute number,3507.14683051935,3605.93969898468,3704.73256745001,attributable,DI
2004,4,White,Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,722.557636903403,742.911373154202,763.265109405003,attributable,DI
2004,4,White,Hispanic or Latino,A,666,wonder,YLL,crude rate,242.706267851475,249.543064128981,256.379860406488,attributable,DI
2004,4,White,Hispanic or Latino,F,666,wonder,Deaths,absolute number,42.5539558779349,43.7526588604119,44.951361842889,attributable,DI
2004,4,White,Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,22.4710627777808,23.1040504616619,23.7370381455431,attributable,DI
2004,4,White,Hispanic or Latino,F,666,wonder,Deaths,crude rate,6.02620921930458,6.19596159167936,6.36571396405413,attributable,DI
2004,4,White,Hispanic or Latino,F,666,wonder,YLL,absolute number,1279.46709581618,1315.50842245889,1351.5497491016,attributable,DI
2004,4,White,Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,533.743943578888,548.778984243082,563.814024907276,attributable,DI
2004,4,White,Hispanic or Latino,F,666,wonder,YLL,crude rate,181.189650868682,186.293584695969,191.397518523256,attributable,DI
2004,4,White,Hispanic or Latino,M,666,wonder,Deaths,absolute number,58.110246065952,59.747154405838,61.384062745724,attributable,DI
2004,4,White,Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,35.4338096365962,36.4319451193172,37.4300806020382,attributable,DI
