"FIPS.code","rural_urban_class","fromYear"
13293,5,1990
13293,5,2010
13295,3,2000
13055,3,1990
13295,3,1990
13295,3,2010
13211,2,2000
13211,2,1990
13297,2,2010
13229,5,2000
13003,5,2000
13005,5,2000
13049,5,2000
13065,5,2000
13003,5,1990
13005,5,1990
13049,5,1990
13065,5,1990
13229,5,1990
13299,5,2010
13303,6,2000
13303,6,1990
13303,6,2010
13305,5,2000
13305,5,1990
13305,5,2010
13307,6,2000
13307,6,1990
13307,6,2010
13309,6,2000
13309,6,1990
13309,6,2010
13313,4,2000
13047,4,2000
13047,4,1990
13313,4,1990
13313,4,2010
13317,6,2000
13317,6,1990
13317,6,2010
15001,5,2000
15001,5,1990
15001,5,2010
15003,3,2000
15003,3,1990
15003,3,2010
15005,4,2000
15005,4,1990
15005,4,2010
15007,5,2000
15007,5,1990
15007,5,2010
15009,4,2000
15009,4,1990
15009,4,2010
16001,3,2000
16015,3,2000
16001,3,1990
16015,3,1990
16001,3,2010
16003,6,2000
16003,6,1990
16003,6,2010
16005,4,2000
16005,4,1990
16005,4,2010
16007,6,2000
16007,6,1990
16007,6,2010
16077,5,2000
16077,5,1990
16011,5,2010
16013,5,2000
16013,5,1990
16013,5,2010
16017,5,2000
16017,5,1990
16017,5,2010
16051,4,2000
16011,4,2000
16019,4,2000
16029,4,2000
16081,4,2000
16011,4,1990
16019,4,1990
16029,4,1990
16051,4,1990
16081,4,1990
16019,4,2010
16021,6,2000
16021,6,1990
16021,6,2010
16023,4,2000
16023,4,1990
16023,4,2010
16025,5,2000
16025,5,1990
16025,5,2010
16027,3,2000
16045,3,2000
16027,3,1990
16045,3,1990
16027,3,2010
16031,5,2000
16031,5,1990
16031,5,2010
16035,6,2000
16035,6,1990
16035,6,2010
16041,4,2000
16041,4,1990
16041,4,2010
16033,5,2000
16033,5,1990
16043,5,2010
16047,6,2000
16047,6,1990
16047,6,2010
16049,6,2000
16061,6,2000
16049,6,1990
16061,6,1990
16049,6,2010
16063,5,2000
16053,5,2000
16053,5,1990
16063,5,1990
16053,5,2010
16055,4,2000
16055,4,1990
16055,4,2010
16057,5,2000
16009,5,2000
