Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,STATEFP,label_cause,attr,value,Education,source,measure1,measure2
1997,A,All,35,44,All Origins,1,37,cvd_stroke,total,46.2207746522964,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,cvd_stroke,total,31.7987298335605,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,cvd_stroke,total,76.7041345289474,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,cvd_stroke,total,74.5533068065373,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,cvd_stroke,total,121.885525796379,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,cvd_stroke,total,144.770448115073,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,lri,total,6.60296780747091,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,lri,total,6.3597459667121,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,lri,total,4.65958167540858,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,lri,total,5.29937068679907,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,lri,total,5.79081792460292,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,37,ncd_lri,total,695.872794365462,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,ncd_lri,total,2145.96453742805,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,ncd_lri,total,3936.68275339479,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,ncd_lri,total,4285.20431568386,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,ncd_lri,total,7562.50105918812,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,ncd_lri,total,11107.4809595308,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,ncd_lri,total,10226.5844548488,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,37,neo_lung,total,11.597879906091,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,neo_lung,total,79.2356136896509,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,neo_lung,total,356.145774135878,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,neo_lung,total,567.610595514211,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,neo_lung,total,852.70344659977,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,neo_lung,total,821.402456453855,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,neo_lung,total,243.214352833323,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,resp_copd,total,33.0148390373546,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,resp_copd,total,76.3169516005452,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,resp_copd,total,219.885185649649,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,resp_copd,total,554.490219373621,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,resp_copd,total,779.007490959463,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,resp_copd,total,335.86743962697,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,37,t2_dm,total,23.1957598121821,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,37,t2_dm,total,66.0296780747091,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,37,t2_dm,total,171.713141101227,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,37,t2_dm,total,230.112403586842,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,37,t2_dm,total,298.213227226149,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,37,t2_dm,total,423.949654943925,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,37,t2_dm,total,249.005170757926,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,48,all-cause,overall,26689.3191943392,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,48,all-cause,overall,56218.1969390145,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,48,all-cause,overall,64663.7519854822,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,48,all-cause,overall,78130.1143144956,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,48,all-cause,overall,118628.741714839,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,48,all-cause,overall,166746.948478381,666,nvss,Deaths,age-adjusted rate
