Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,allDeaths,allYLL,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL,effPaf,propDeaths,propYll,test1,test2
2009,Asian or Pacific Islander,All Origins,9779,63235,918.551584940152,8987.98653327282,42044,577417.5,14056999.0043102,69.566768817452,449.84708315488,6.53447855163469,63.9395829118071,0.0939310343532214,0.0218473880920025,0.0155658367355905,0.232589667966892,0.109513480280733
2009,Asian or Pacific Islander,Not Hispanic or Latino,9665,61915.5,947.566525615165,8981.80266721904,41324,557090.5,13819072.0042395,69.9395733449751,448.043833775562,6.85694759622401,64.9957006119047,0.0980410269648385,0.0229301743687727,0.0161226993948363,0.233883457554932,0.111140829003546
2009,Black or African American,All Origins,60418,705295,6329.45645353729,98521.164344686,286410,5265709,38457608.8080441,157.102851353989,1833.95437693587,16.4582683367807,256.181201583387,0.104761105192779,0.0220992858263933,0.0187099523244991,0.210949338361091,0.13394112739614
2009,Black or African American,Hispanic or Latino,10,120,1.15062778947184,13.8075334736621,1523,35049,1187419.80020344,0.84216213998509,10.1059456798211,0.0969015161507918,1.1628181938095,0.115062778947184,0.000755500846665686,0.000393949427192277,0.00656598818122127,0.00342377813917658
2009,Black or African American,Not Hispanic or Latino,59620,696104.5,6449.92404440558,98961.0669131087,282782,5175138.5,37270189.0078407,159.966991279431,1867.72463067885,17.305852790413,265.523383560759,0.108183898765608,0.0228088210862275,0.0191223997025604,0.210833787157598,0.134509346947913
2009,White,All Origins,557175,3842738.5,44952.6616564286,446528.272818553,2080784,21654190.5,221541980.056149,251.498609815975,1734.54191346763,20.2908097350378,201.554699793412,0.0806796099186586,0.0216037136273773,0.0206208711805021,0.267771666833271,0.177459346725522
2009,White,Hispanic or Latino,30437,286316,2879.59141316132,37488.8661824189,137707,2697310,25709190.4067413,118.389570104934,1113.67178612098,11.2006304656184,145.818929298484,0.0946082535453993,0.0209110024411346,0.0138986123887943,0.221027253516524,0.106148718538099
2009,White,Not Hispanic or Latino,524438,3491872.5,41877.3790907674,401822.622974196,1939388,18884389.5,195832789.649408,267.798871138424,1783.08878010233,21.3842529464748,205.186589893124,0.0798519159381421,0.0215930897225142,0.0212780308822902,0.270414171893401,0.184907883837071
2010,American Indian or Alaska Native,All Origins,1780,18376,135.765277377834,1859.27576984307,14525,304302.5,2823213,63.0487320652037,650.889606983249,4.80889247031075,65.8567302517758,0.0762726277403564,0.0093470070483879,0.00610995890550708,0.122547332185886,0.0603872791054954
2010,American Indian or Alaska Native,Not Hispanic or Latino,1684,17460,124.214211672618,1696.04703995173,13837,285641,2141719,78.6284288461745,815.232997419363,5.7997436485654,79.1909228032124,0.0737614083566618,0.00897696116734975,0.00593768765671501,0.121702681217027,0.0611256787365959
2010,Asian or Pacific Islander,All Origins,10229,64969,864.595559867003,8116.32935524419,44197,586190,14508221,70.5048537653238,447.808177170723,5.95934925355082,55.9429674750901,0.0845239573630857,0.0195623132761727,0.0138459021055361,0.231441048034935,0.11083266517682
2010,Asian or Pacific Islander,Not Hispanic or Latino,10067,63409,849.410220743192,7915.11338378593,43338,562891.5,14260506,70.5935679982183,444.647616290754,5.95638205785399,55.503734466266,0.084375704851812,0.0195996635918407,0.0140615258602873,0.232290368729521,0.112648707610614
2010,Black or African American,All Origins,59543,679416,6019.75881158374,90982.1245766987,286749,5100886,38884632,153.127333183968,1747.26097446415,15.4810744038512,233.979646706438,0.101099353603005,0.0209931292230618,0.0178365336093962,0.207648500953796,0.133195684043909
2010,Black or African American,Not Hispanic or Latino,58724,670323.5,5947.54736857736,89846.6039830129,283246,5013908.5,37643995,155.998320582074,1780.69171457493,15.7994585021525,238.674465829179,0.101279670468247,0.0209978159217689,0.0179194741952337,0.207325081378025,0.133692806719548
2010,White,All Origins,548571,3702842.5,41897.5775755055,402430.980280771,2109277,21444272,222743090,246.279693794317,1662.38265797606,18.8098214743746,180.670466716059,0.0763758521239831,0.0198634781375351,0.0187663624244633,0.260075371798014,0.172672800456924
2010,White,Hispanic or Latino,30376,261937.5,2594.57341183162,31851.3400198779,140513,2607107,26690201,113.809558796504,981.399503136001,9.72107108459624,119.337205515529,0.0854152426860554,0.0184650061690493,0.012217120363636,0.216179285902372,0.100470559896468
2010,White,Not Hispanic or Latino,515819,3389062.5,39074.0372481641,364434.662297645,1964694,18770090.5,196052889,263.101963266657,1728.64705911067,19.9303552462132,185.885892402047,0.0757514501175104,0.0198881033118461,0.0194157115170886,0.262544192632542,0.18055653487659
