Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,rural_urban_class,label_cause,attr,Deaths,Education,source
2009,A,White,34,34,Not Hispanic or Latino,us,666,t2_dm,total,5,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,all-cause,overall,738,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,cvd_ihd,total,22,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,cvd_stroke,total,7,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,lri,total,6,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,ncd_lri,total,335,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,neo_lung,total,7,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,35,35,Hispanic or Latino,us,666,t2_dm,total,3,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,all-cause,overall,2883,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,cvd_ihd,total,139,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,cvd_stroke,total,23,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,lri,total,15,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,ncd_lri,total,1254,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,neo_lung,total,29,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,resp_copd,total,5,666,nvss
2009,A,White,35,35,Not Hispanic or Latino,us,666,t2_dm,total,7,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,all-cause,overall,718,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,cvd_ihd,total,22,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,cvd_stroke,total,12,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,lri,total,19,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,ncd_lri,total,366,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,neo_lung,total,4,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,36,36,Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,all-cause,overall,3206,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,cvd_ihd,total,158,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,cvd_stroke,total,30,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,lri,total,19,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,ncd_lri,total,1387,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,neo_lung,total,36,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,resp_copd,total,6,666,nvss
2009,A,White,36,36,Not Hispanic or Latino,us,666,t2_dm,total,5,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,all-cause,overall,723,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,cvd_ihd,total,25,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,cvd_stroke,total,12,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,lri,total,13,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,ncd_lri,total,358,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,neo_lung,total,8,666,nvss
2009,A,White,37,37,Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,all-cause,overall,3622,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,cvd_ihd,total,221,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,cvd_stroke,total,27,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,lri,total,18,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,ncd_lri,total,1739,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,neo_lung,total,54,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,resp_copd,total,16,666,nvss
2009,A,White,37,37,Not Hispanic or Latino,us,666,t2_dm,total,7,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,all-cause,overall,747,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,cvd_ihd,total,15,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,cvd_stroke,total,6,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,lri,total,12,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,ncd_lri,total,390,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,neo_lung,total,6,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,resp_copd,total,2,666,nvss
2009,A,White,38,38,Hispanic or Latino,us,666,t2_dm,total,6,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,all-cause,overall,4164,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,cvd_ihd,total,273,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,cvd_stroke,total,27,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,lri,total,27,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,ncd_lri,total,2096,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,neo_lung,total,60,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,resp_copd,total,18,666,nvss
2009,A,White,38,38,Not Hispanic or Latino,us,666,t2_dm,total,9,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,all-cause,overall,779,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,cvd_ihd,total,34,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,cvd_stroke,total,16,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,lri,total,11,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,ncd_lri,total,415,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,neo_lung,total,13,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,resp_copd,total,2,666,nvss
2009,A,White,39,39,Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,all-cause,overall,4456,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,cvd_ihd,total,332,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,cvd_stroke,total,39,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,lri,total,29,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,ncd_lri,total,2381,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,neo_lung,total,71,666,nvss
2009,A,White,39,39,Not Hispanic or Latino,us,666,resp_copd,total,19,666,nvss
