"Year","replacecolumns","from","to"
2002,"label_cause","I610","cvd_stroke"
2003,"label_cause","I610","cvd_stroke"
2000,"label_cause","I620","cvd_stroke"
2001,"label_cause","I620","cvd_stroke"
2002,"label_cause","I620","cvd_stroke"
2003,"label_cause","I620","cvd_stroke"
2000,"label_cause","I630","cvd_stroke"
2001,"label_cause","I630","cvd_stroke"
2002,"label_cause","I630","cvd_stroke"
2003,"label_cause","I630","cvd_stroke"
2000,"label_cause","I650","cvd_stroke"
2001,"label_cause","I650","cvd_stroke"
2002,"label_cause","I650","cvd_stroke"
2003,"label_cause","I650","cvd_stroke"
2000,"label_cause","I660","cvd_stroke"
2001,"label_cause","I660","cvd_stroke"
2002,"label_cause","I660","cvd_stroke"
2003,"label_cause","I660","cvd_stroke"
2000,"label_cause","I670","cvd_stroke"
2001,"label_cause","I670","cvd_stroke"
2002,"label_cause","I670","cvd_stroke"
2003,"label_cause","I670","cvd_stroke"
2000,"label_cause","I680","cvd_stroke"
2001,"label_cause","I680","cvd_stroke"
2002,"label_cause","I680","cvd_stroke"
2003,"label_cause","I680","cvd_stroke"
2000,"label_cause","I690","cvd_stroke"
2001,"label_cause","I690","cvd_stroke"
2002,"label_cause","I690","cvd_stroke"
2003,"label_cause","I690","cvd_stroke"
2000,"label_cause","C330","neo_lung"
2001,"label_cause","C330","neo_lung"
2002,"label_cause","C330","neo_lung"
2003,"label_cause","C330","neo_lung"
2000,"label_cause","C340","neo_lung"
2001,"label_cause","C340","neo_lung"
2002,"label_cause","C340","neo_lung"
2003,"label_cause","C340","neo_lung"
2000,"label_cause","D020","neo_lung"
2001,"label_cause","D020","neo_lung"
2002,"label_cause","D020","neo_lung"
2003,"label_cause","D020","neo_lung"
2000,"label_cause","D140","neo_lung"
2001,"label_cause","D140","neo_lung"
2002,"label_cause","D140","neo_lung"
2003,"label_cause","D140","neo_lung"
2000,"label_cause","D380","neo_lung"
2001,"label_cause","D380","neo_lung"
2002,"label_cause","D380","neo_lung"
2003,"label_cause","D380","neo_lung"
2000,"label_cause","J410","resp_copd"
2001,"label_cause","J410","resp_copd"
2002,"label_cause","J410","resp_copd"
2003,"label_cause","J410","resp_copd"
2000,"label_cause","J420","resp_copd"
2001,"label_cause","J420","resp_copd"
2002,"label_cause","J420","resp_copd"
2003,"label_cause","J420","resp_copd"
2000,"label_cause","J430","resp_copd"
2001,"label_cause","J430","resp_copd"
2002,"label_cause","J430","resp_copd"
2003,"label_cause","J430","resp_copd"
2000,"label_cause","J440","resp_copd"
2001,"label_cause","J440","resp_copd"
2002,"label_cause","J440","resp_copd"
2003,"label_cause","J440","resp_copd"
2000,"label_cause","A480","resp_copd"
2001,"label_cause","A480","resp_copd"
2002,"label_cause","A480","resp_copd"
2003,"label_cause","A480","resp_copd"
2000,"label_cause","A700","resp_copd"
2001,"label_cause","A700","resp_copd"
2002,"label_cause","A700","resp_copd"
2003,"label_cause","A700","resp_copd"
2000,"label_cause","B970","resp_copd"
2001,"label_cause","B970","resp_copd"
2002,"label_cause","B970","resp_copd"
2003,"label_cause","B970","resp_copd"
2000,"label_cause","J090","resp_copd"
2001,"label_cause","J090","resp_copd"
2002,"label_cause","J090","resp_copd"
2003,"label_cause","J090","resp_copd"
2000,"label_cause","J100","resp_copd"
2001,"label_cause","J100","resp_copd"
2002,"label_cause","J100","resp_copd"
2003,"label_cause","J100","resp_copd"
2000,"label_cause","J110","resp_copd"
2001,"label_cause","J110","resp_copd"
2002,"label_cause","J110","resp_copd"
2003,"label_cause","J110","resp_copd"
2000,"label_cause","J120","resp_copd"
2001,"label_cause","J120","resp_copd"
2002,"label_cause","J120","resp_copd"
2003,"label_cause","J120","resp_copd"
2000,"label_cause","J130","resp_copd"
2001,"label_cause","J130","resp_copd"
2002,"label_cause","J130","resp_copd"
2003,"label_cause","J130","resp_copd"
2000,"label_cause","J140","resp_copd"
2001,"label_cause","J140","resp_copd"
2002,"label_cause","J140","resp_copd"
2003,"label_cause","J140","resp_copd"
2000,"label_cause","J150","resp_copd"
2001,"label_cause","J150","resp_copd"
2002,"label_cause","J150","resp_copd"
2003,"label_cause","J150","resp_copd"
2000,"label_cause","J160","resp_copd"
2001,"label_cause","J160","resp_copd"
2002,"label_cause","J160","resp_copd"
2003,"label_cause","J160","resp_copd"
2000,"label_cause","J200","resp_copd"
2001,"label_cause","J200","resp_copd"
2002,"label_cause","J200","resp_copd"
2003,"label_cause","J200","resp_copd"
2000,"label_cause","J210","resp_copd"
2001,"label_cause","J210","resp_copd"
2002,"label_cause","J210","resp_copd"
2003,"label_cause","J210","resp_copd"
2000,"label_cause","P230","resp_copd"
2001,"label_cause","P230","resp_copd"
2002,"label_cause","P230","resp_copd"
2003,"label_cause","P230","resp_copd"
2000,"label_cause","U040","resp_copd"
2001,"label_cause","U040","resp_copd"
2002,"label_cause","U040","resp_copd"
2003,"label_cause","U040","resp_copd"
2000,"label_cause","E110","t2_dm"
2001,"label_cause","E110","t2_dm"
2002,"label_cause","E110","t2_dm"
2003,"label_cause","E110","t2_dm"
2000,"label_cause","I201","cvd_ihd"
2001,"label_cause","I201","cvd_ihd"
2002,"label_cause","I201","cvd_ihd"
2003,"label_cause","I201","cvd_ihd"
2000,"label_cause","I211","cvd_ihd"
2001,"label_cause","I211","cvd_ihd"
2002,"label_cause","I211","cvd_ihd"
2003,"label_cause","I211","cvd_ihd"
2000,"label_cause","I221","cvd_ihd"
2001,"label_cause","I221","cvd_ihd"
2002,"label_cause","I221","cvd_ihd"
2003,"label_cause","I221","cvd_ihd"
2000,"label_cause","I231","cvd_ihd"
2001,"label_cause","I231","cvd_ihd"
2002,"label_cause","I231","cvd_ihd"
2003,"label_cause","I231","cvd_ihd"
2000,"label_cause","I241","cvd_ihd"
2001,"label_cause","I241","cvd_ihd"
2002,"label_cause","I241","cvd_ihd"
2003,"label_cause","I241","cvd_ihd"
2000,"label_cause","I251","cvd_ihd"
2001,"label_cause","I251","cvd_ihd"
2002,"label_cause","I251","cvd_ihd"
2003,"label_cause","I251","cvd_ihd"
2000,"label_cause","G451","cvd_stroke"
2001,"label_cause","G451","cvd_stroke"
2002,"label_cause","G451","cvd_stroke"
2003,"label_cause","G451","cvd_stroke"
2000,"label_cause","G461","cvd_stroke"
2001,"label_cause","G461","cvd_stroke"
2002,"label_cause","G461","cvd_stroke"
2003,"label_cause","G461","cvd_stroke"
2000,"label_cause","I611","cvd_stroke"
2001,"label_cause","I611","cvd_stroke"
2002,"label_cause","I611","cvd_stroke"
2003,"label_cause","I611","cvd_stroke"
