Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,Black or African American,All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,337.820823646918,1372.82100690769,2672.74462456231,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,13.3848378638146,54.3926996421725,105.897123406871,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,20.7496069700942,84.3213157380608,164.165133138931,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,13009.2401502423,51971.9161760103,99656.9887784559,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,64.0307637978103,255.802910112604,490.506212167624,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,76.8248572647922,306.915315259621,588.515074664162,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,All,National Vital Statistics System,YLL,absolute number,A,362176.212234769,1446894.01731582,2774442.6501214,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,1591.37159944703,6357.5297570169,12190.6660033094,EPA,attributable,25,150,nation,value
1990,United States,Black or African American,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,2138.7979227304,8544.49799325897,16384.2129227631,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,43275.6050125997,173773.331089417,334823.873562414,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,40.7540043123829,163.647835368988,315.314218786277,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,59.8650387854315,240.38825575085,463.176521073858,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,933132.886578462,3746998.10673038,7219660.30380654,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,855.46541263726,3435.12411536425,6618.74612901384,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,1290.84356950566,5183.38650431446,9987.27213586458,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,14249.5812159975,58072.7384866452,113385.943086215,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,23.6410746162624,96.3468275258619,188.115390923005,EPA,attributable,25,150,nation,value
