Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method,agr_by,measure3
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,32.0674236541839,23.2982905738978,43.5076296534246,National Vital Statistics System,GBD,nation,value
2000,"White, Not Hispanic or Latino",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,18.4455927170022,10.3696385949045,29.5141295554083,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,30113.940405639,18726.8407223204,45916.0499470862,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,29770.6153684073,18392.7846721071,45570.3160296678,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,24043.7573071128,12826.6980938549,39903.0412730612,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,8.45003347727366,5.21586378745376,12.9097512775854,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,8.35373789067988,5.12362817309378,12.8147921685099,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,6.74661465434568,3.60781393545222,11.2464384416706,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,14.263809062324,8.87018028214311,21.7486572836123,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,14.1011892685865,8.71195084912393,21.5848964964819,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,11.3885980628856,6.07551087789762,18.9005275981219,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,3259.62708932281,1984.65056179761,5069.53225296941,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,3218.03403969778,1943.23077432484,5025.11099850031,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,2584.98047455553,1341.14752926792,4356.7108623481,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,4.02414265885323,2.47043698106633,6.20579873696035,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,3.97253912825826,2.41930233181339,6.15478186516119,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,3.19059523855194,1.65638273060511,5.3498441328955,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,5.47072074203747,3.3308929814969,8.50833377216455,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,5.40091399633531,3.26137702637421,8.4337803734008,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",4-year college graduate or higher,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,4.33844299129651,2.25088435132087,7.31198625750141,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,17539.0153535335,10909.6823955801,26737.7093417461,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,17324.4942555404,10696.4286412236,26524.1652929018,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,13929.7611721324,7388.00972302989,23095.2115847536,National Vital Statistics System,GBD,nation,value
